date,title,body,video_id,video_url,playlist,minutes_match
2020-01-17,Salt Lake City Council Special Meetings - 1/17/2020,Council,tm7l3JtbDOI,https://www.youtube.com/watch?v=tm7l3JtbDOI,streams,true
2020-01-16,Historic Landmarks Commission Meeting - 01/16/2020,Other,vvvETGVAt6U,https://www.youtube.com/watch?v=vvvETGVAt6U,videos,false
2020-01-14,Salt Lake City Council Work Session - 1/14/2020,Council,Ez3XDfnPcK0,https://www.youtube.com/watch?v=Ez3XDfnPcK0,streams,true
2020-01-14,Redevelopment Agency (RDA) of Salt Lake City - 1/14/2020,Council,qBYg02JFJJM,https://www.youtube.com/watch?v=qBYg02JFJJM,streams,true
2020-01-08,"Planning Commission Meeting - January 08, 2020",PlanningCommission,hkUAQQjhDCk,https://www.youtube.com/watch?v=hkUAQQjhDCk,streams,false
2020-01-07,Salt Lake City Council Formal Meeting - 1/7/2020,Council,3ugRmT0oW5M,https://www.youtube.com/watch?v=3ugRmT0oW5M,streams,true
2020-01-07,Salt Lake City Council Work Session - 1/7/2020,Council,dE-dNt5hgCc,https://www.youtube.com/watch?v=dE-dNt5hgCc,streams,true
2020-01-06,Salt Lake City Elected Officials Inauguration and Oath of Office Ceremony - 1/6/2020,Other,QIzWyTaOCcs,https://www.youtube.com/watch?v=QIzWyTaOCcs,streams,false
2019-12-11,"Planning Commission Meeting - December 11, 2019",PlanningCommission,VjwnfMTrhPA,https://www.youtube.com/watch?v=VjwnfMTrhPA,streams,false
2019-12-10,Salt Lake City Council Formal Meeting - 12/10/2019,Council,HEfzeAkzEsY,https://www.youtube.com/watch?v=HEfzeAkzEsY,streams,false
2019-12-10,Salt Lake City Council Work Session - 12/10/2019,Council,JQpQIGbNXwM,https://www.youtube.com/watch?v=JQpQIGbNXwM,streams,false
2019-12-10,Salt Lake City Redevelopment Agency (RDA) Meeting - 12/10/2019,Council,7uKFFW0kor0,https://www.youtube.com/watch?v=7uKFFW0kor0,streams,false
2019-12-05,"Historic Landmarks Commission Meeting - December 05, 2019",Other,qKiJJ-lKS-8,https://www.youtube.com/watch?v=qKiJJ-lKS-8,streams,false
2019-12-03,Salt Lake City Council Formal Meeting - 12/3/2019,Council,hoO0ue0kP5k,https://www.youtube.com/watch?v=hoO0ue0kP5k,streams,false
2019-12-03,Salt Lake City Council Work Session - 12/3/2019,Council,cfmoSXAdG78,https://www.youtube.com/watch?v=cfmoSXAdG78,streams,false
2019-12-03,Salt Lake City Redevelopment Agency (RDA) Meeting - 12/3/2019,Council,FGZrYqn1iTw,https://www.youtube.com/watch?v=FGZrYqn1iTw,streams,false
2019-11-19,Salt Lake City Council Formal Meeting - 11/19/2019,Council,GWdjzc2V6jU,https://www.youtube.com/watch?v=GWdjzc2V6jU,streams,false
2019-11-19,Salt Lake City Council Work Session - 11/19/2019,Council,vkSTf3iXJHU,https://www.youtube.com/watch?v=vkSTf3iXJHU,streams,false
2019-11-19,Board of Canvassers of Salt Lake City - 11/19/2019,Other,DzNjkToeqNs,https://www.youtube.com/watch?v=DzNjkToeqNs,videos,false
2019-11-13,Salt Lake City Planning Commission Meeting - 11/13/2019,PlanningCommission,HKZlal3qyPU,https://www.youtube.com/watch?v=HKZlal3qyPU,streams,false
2019-11-12,Salt Lake City Council Formal Meeting - 11/12/2019,Council,rVKeCWuklfg,https://www.youtube.com/watch?v=rVKeCWuklfg,streams,false
2019-11-12,Salt Lake City Council Work Session - 11/12/2019,Council,LEJ_Z_LCYDI,https://www.youtube.com/watch?v=LEJ_Z_LCYDI,streams,false
2019-11-12,Salt Lake City Redevelopment Agency (RDA) Meeting - 11/12/2019,Council,aEBSbp5eU9w,https://www.youtube.com/watch?v=aEBSbp5eU9w,streams,false
2019-10-23,"Planning Commission Meeting - October 23, 2019",PlanningCommission,8WmgtlXyQuA,https://www.youtube.com/watch?v=8WmgtlXyQuA,streams,false
2019-10-15,Salt Lake City Council Formal Meeting - 10/15/2019,Council,Juxn9HDiajY,https://www.youtube.com/watch?v=Juxn9HDiajY,streams,false
