filename,method,chars,note
Ordinance_20-02-01.pdf,ocr_tesseract,24210,image-only PDF; OCR fallback
Ordinance_20-02-02.pdf,ocr_tesseract,7928,image-only PDF; OCR fallback
Ordinance_20-02-02__d98d41.pdf,ocr_tesseract,7928,image-only PDF; OCR fallback
Ordinance_20-02-03.pdf,ocr_tesseract,17528,image-only PDF; OCR fallback
Ordinance_20-04-01_Kearns_Franchise_Agreement_with_Verizon_-FINAL.pdf,pdftotext_layout,30430,
Ordinance_20-05-01_Rocky_Mountain_Power_Franchise_Agreement_-_Final.pdf,pdftotext_layout,975,
Ordinance_20-05-02.pdf,ocr_tesseract,8359,image-only PDF; OCR fallback
Ordinance_20-05-02_Kearns_Open_Space_-_needs_Sherries_signature.pdf,ocr_tesseract,8342,image-only PDF; OCR fallback
Ordinance_20-07-01.pdf,pdftotext_layout,59178,
Ordinance_20-07-01_Land_Use_Authority_for_Subdivisions.pdf,pdftotext_layout,59004,
Ordinance_20-08-01.pdf,pdftotext_layout,59005,
Ordinance_20-08-01_Condtional_Use_Ordinance_Changes.pdf,pdftotext_layout,58873,
Ordinance_20-08-02.pdf,pdftotext_layout,15534,
Ordinance_20-08-02__373313.pdf,pdftotext_layout,15405,
Ordinance_20-08-03.pdf,pdftotext_layout,58649,
Ordinance_20-08-03__Kearns_Amendment_to_PD_Fee_Ordinance.pdf,pdftotext_layout,8924,
Ordinance_20-10-01.pdf,pdftotext_layout,6940,
Ordinance_2021-01-01_adopting_general_plan_-_final.pdf,pdftotext_layout,16284,
Ordinance_2021-01-01_adopting_general_plan_-_final__975116.pdf,ocr_tesseract,7358,image-only PDF; OCR fallback
Ordinance_2021-02-01.pdf,pdftotext_layout,43981,
Ordinance_2021-06-01.pdf,pdftotext_layout,17589,
Ordinance_2021-06-02.pdf,pdftotext_layout,73430,
Ordinance_2021-06-04.pdf,pdftotext_layout,24424,
Ordinance_2021-08-01.pdf,pdftotext_layout,79475,
Ordinance_2021-08-02.pdf,pdftotext_layout,3979,
Ordinance_2021-08-03.pdf,pdftotext_layout,4971,
Ordinance_2021-09-01.pdf,pdftotext_layout,16035,
Ordinance_2022-02-01.pdf,pdftotext_layout,6883,
Ordinance_2022-02-02_FINAL_WITH_ALL_SIGNATURES.pdf,pdftotext_layout,13375,
Ordinance_2022-02-03_FINAL_WITH_SIGNATURES.pdf,pdftotext_layout,96105,
Ordinance_2022-09-01.pdf,pdftotext_layout,580784,
Ordinance_2022-11-02.pdf,pdftotext_layout,5091,
Ordinance_2022-11-02__c1e8cd.pdf,pdftotext_layout,5091,
Ordinance_2023-04-01.pdf,pdftotext_layout,5220,
Ordinance_2023-05-01.pdf,ocr_tesseract,4094,image-only PDF; OCR fallback
Ordinance_2023-06-01.pdf,pdftotext_layout,1093470,
Ordinance_2023-10-02.pdf,ocr_tesseract,8451,image-only PDF; OCR fallback
Ordinance_2023-12-02.pdf,pdftotext_layout,85017,
Ordinance_2024-01-02.pdf,pdftotext_layout,153694,
Ordinance_2024-05-01.pdf,pdftotext_layout,16852,
Ordinance_2024-05-02.pdf,pdftotext_layout,21839,
Ordinance_2024-05-03.pdf,pdftotext_layout,42654,
Ordinance_2024-06-01.pdf,pdftotext_layout,5204,
Ordinance_2024-06-02.pdf,pdftotext_layout,26442,
Ordinance_2024-06-03.pdf,ocr_tesseract,57291,image-only PDF; OCR fallback
Ordinance_2024-11-01.pdf,pdftotext_layout,780,
Ordinance_2024-12-01_Adoption_of_an_Airport_Overlay_Zone.pdf,ocr_tesseract,21768,image-only PDF; OCR fallback
Ordinance_2025-O-04_Compensation_Adjustments_Mayor-City_Manager-Planning_Commissioners.pdf,ocr_tesseract,3123,image-only PDF; OCR fallback
Ordinance_2025-O-05_Questar_Franchise_Agreement.pdf,ocr_tesseract,29401,image-only PDF; OCR fallback
Ordinance_2025-O-07_Title_19_Changes_-_equipment_rentals_-_SIGNED.pdf,ocr_tesseract,7520,image-only PDF; OCR fallback
Ordinance_2025-O-10_Updating_Code_for_Infrastructure_and_Public_Improvements.pdf,ocr_tesseract,9985,image-only PDF; OCR fallback
R2025-08_Kearns_Amending_Purchasing_Policy_for_the_City.pdf,ocr_tesseract,17794,image-only PDF; OCR fallback
Resoluiton_21-03-01_Consent_to_Reorganize_the_WFWRD_as_a_Local_District.pdf,pdftotext_layout,5817,
Resolution_17-02-01_final.pdf,ocr_tesseract,28304,image-only PDF; OCR fallback
Resolution_17-02-02_final.pdf,ocr_tesseract,49246,image-only PDF; OCR fallback
Resolution_17-03-01_final.pdf,ocr_tesseract,2639,image-only PDF; OCR fallback
Resolution_17-03-02_final.pdf,ocr_tesseract,3528,image-only PDF; OCR fallback
Resolution_17-04-01_final.pdf,ocr_tesseract,3598,image-only PDF; OCR fallback
Resolution_17-04-02.pdf,ocr_tesseract,2881,image-only PDF; OCR fallback
Resolution_17-04-02_final.pdf,ocr_tesseract,2911,image-only PDF; OCR fallback
Resolution_17-05-01.pdf,ocr_tesseract,19162,image-only PDF; OCR fallback
Resolution_17-05-01_final.pdf,ocr_tesseract,19308,image-only PDF; OCR fallback
Resolution_17-05-02.pdf,ocr_tesseract,5132,image-only PDF; OCR fallback
Resolution_17-05-02_final.pdf,ocr_tesseract,5311,image-only PDF; OCR fallback
Resolution_17-06-01_final.pdf,ocr_tesseract,32651,image-only PDF; OCR fallback
Resolution_17-07-01_final.pdf,ocr_tesseract,4107,image-only PDF; OCR fallback
Resolution_17-09-01_final.pdf,ocr_tesseract,2862,image-only PDF; OCR fallback
Resolution_17-10-01_final.pdf,ocr_tesseract,2537,image-only PDF; OCR fallback
Resolution_17-10-02_final.pdf,ocr_tesseract,2118,image-only PDF; OCR fallback
Resolution_17-12-01_final.pdf,ocr_tesseract,1095,image-only PDF; OCR fallback
Resolution_17-12-02_final.pdf,ocr_tesseract,1123,image-only PDF; OCR fallback
Resolution_17-12-03_final.pdf,ocr_tesseract,63179,image-only PDF; OCR fallback
Resolution_17-12-04_final.pdf,ocr_tesseract,1157,image-only PDF; OCR fallback
Resolution_18-01-01_final.pdf,ocr_tesseract,2271,image-only PDF; OCR fallback
Resolution_18-03-01.pdf,ocr_tesseract,1369,image-only PDF; OCR fallback
Resolution_18-03-01_final.pdf,ocr_tesseract,1356,image-only PDF; OCR fallback
Resolution_18-04-01.pdf,ocr_tesseract,4316,image-only PDF; OCR fallback
Resolution_18-04-01_final.pdf,ocr_tesseract,4312,image-only PDF; OCR fallback
Resolution_18-04-02_final.pdf,ocr_tesseract,9114,image-only PDF; OCR fallback
Resolution_18-05-01.pdf,ocr_tesseract,11828,image-only PDF; OCR fallback
Resolution_18-05-01_final.pdf,ocr_tesseract,11823,image-only PDF; OCR fallback
Resolution_18-05-02_final.pdf,ocr_tesseract,2042,image-only PDF; OCR fallback
Resolution_18-07-01_final.pdf,ocr_tesseract,42043,image-only PDF; OCR fallback
Resolution_18-07-03_final.pdf,ocr_tesseract,2610,image-only PDF; OCR fallback
Resolution_18-07-04_final.pdf,ocr_tesseract,2526,image-only PDF; OCR fallback
Resolution_18-09-01_final.pdf,ocr_tesseract,3896,image-only PDF; OCR fallback
Resolution_18-10-01_final.pdf,ocr_tesseract,2467,image-only PDF; OCR fallback
Resolution_18-10-02_final.pdf,ocr_tesseract,1515,image-only PDF; OCR fallback
Resolution_18-10-03_final.pdf,ocr_tesseract,3289,image-only PDF; OCR fallback
Resolution_18-10-04_final.pdf,ocr_tesseract,2112,image-only PDF; OCR fallback
Resolution_18-11-01_final.pdf,ocr_tesseract,5702,image-only PDF; OCR fallback
