motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file
700,168,2,4,Commissioner Wright - I would like to add conditions on how we are addressing the park strip issue specifically. Thus far we have not put in any conditions on the park strip. Commissioner Burggraaf – Then this is a motion to reconsider a decision having been made. Is there a second?,Land-Use/Zoning,1-5 Denied (Final Action),Fail,pc_final_action,,procedural,keyword,high,100,singleton,high,9,16,1,minutes/2021/2021-11-08/2021-11-09_planning-commission.md
701,168,2,5,By motion the meeting was adjourned.,Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,12,,0,minutes/2021/2021-11-08/2021-11-09_planning-commission.md
702,169,2,1,"Commissioner Russell — 1 will make a motion to approve the Minutes for November 9, 2021, as presented",Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,12,14,1,minutes/2022/2022-01-10/2022-01-11_planning-commission.md
703,169,2,2,By motion the meeting was adjourned.,Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,11,,0,minutes/2022/2022-01-10/2022-01-11_planning-commission.md
704,170,2,1,"Commissioner Quigley —I move to approve the Minutes for January 11, 2022, as presented",Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,11,12,0,minutes/2022/2022-01-24/2022-01-25_planning-commission.md
705,170,2,2,"Commissioner Quigley - IR I would move that we approve File # 48C21, a preliminary non- administrative conditional use permit and site plan to construct a new carwash facility at 4681 South Redwood Road in Taylorsville, Utah as identified in Exhibit F subject to the Findings outlined in the staff report and would add that staff works with the applicant to improve or increase the vegetation along the east wall that would provide some trees with the minimum height of 8' and would be columnar in nature and in accordance with other Taylorsville ordinances and secondly I would propose that upon fin",Land-Use/Zoning,"Approved (Final Action, unanimous)",Pass,pc_final_action,,approve,keyword,high,101,case_no,high,11,14,0,minutes/2022/2022-01-24/2022-01-25_planning-commission.md
706,170,2,3,By motion the meeting was adjourned.,Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,17,,0,minutes/2022/2022-01-24/2022-01-25_planning-commission.md
707,171,2,1,"Commissioner Wendel — | will make a motion to approve the Minutes for January 25, 2022, as presented",Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,16,17,0,minutes/2022/2022-02-21/2022-02-22_planning-commission.md
708,171,2,2,"Commissioner Wendel — | move that we approve File #48C21, a final non-administrative conditional use permit and site plan to construct a new carwash facility at 4681 South Redwood Road, Taylorsville, Utah, as identified in Exhibit F in the Staff Report, subject to the findings and conditions outlined in the Staff Report. Amending that to finalize the requirement that the wall be 6’ tall",Land-Use/Zoning,"Approved (Final Action, unanimous)",Pass,pc_final_action,,approve,keyword,high,101,case_no,high,16,17,0,minutes/2022/2022-02-21/2022-02-22_planning-commission.md
709,171,2,3,"Commissioner Wendel - | move that we approve File #13S21 to amend the “Taylorsville Wal- Mart Amended Plat No. 1” subdivision to create one additional commercial lot at approximately 5469 South Redwood Road, Taylorsville, Utah, based on the Findings and Conditions of Approval presented by Staff",Land-Use/Zoning,"Approved (Final Action, unanimous)",Pass,pc_final_action,,approve,keyword,high,102,case_no,high,16,14,0,minutes/2022/2022-02-21/2022-02-22_planning-commission.md
