date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2025-07-08,2025,Council Formal Meeting,Council,2,Close the public hearing and refer Items B1 through B4 to a future Consent Agenda.,Public Hearing Action,7-0 Pass,Daniel Dugan,Eva Lopez Chavez,Sarah Young,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Work Session Meeting,Council,2,"Moved by Council Member Dugan, seconded by Council Member Lopez Chavez to exit Closed Session.",Procedural/Administrative,7-0 Pass,Daniel Dugan,Eva Lopez Chavez,Sarah Young,Aye,minutes/2025/2025-07-07/2025-07-08_council-work-session-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,2,"Enter into Closed Session for the purposes of strategy sessions to discuss the purchase, exchange, or lease of real property, and advice of counsel.",Procedural/Administrative,7-0 Pass,Chris Wharton,Eva Lopez Chavez,Victoria Petro,Aye,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,2,Close the public hearing and refer Items B1 through B4 to a future Consent Agenda.,Public Hearing Action,7-0 Pass,Daniel Dugan,Eva Lopez Chavez,Victoria Petro,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Work Session Meeting,Council,2,"Moved by Council Member Dugan, seconded by Council Member Lopez Chavez to exit Closed Session.",Procedural/Administrative,7-0 Pass,Daniel Dugan,Eva Lopez Chavez,Victoria Petro,Aye,minutes/2025/2025-07-07/2025-07-08_council-work-session-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,3,Exit the closed meeting.,Procedural/Administrative,6-0 Pass,Chris Wharton,Eva Lopez Chavez,Alejandro Puy,Aye,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,3,"Close the public hearing and approve the following changes to the CIP budget: remove the second tranche of Public Lands GO Bonds from the Key Changes document; allow the Administration to use $300,000 for CPTED lighting; all other funding will be discussed at the briefings as scheduled and approved at the August 19th Council Meeting.",Budget Amendment,7-0 Pass,Daniel Dugan,Eva Lopez Chavez,Alejandro Puy,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,3,Exit the closed meeting.,Procedural/Administrative,6-0 Pass,Chris Wharton,Eva Lopez Chavez,Chris Wharton,Aye,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,3,"Close the public hearing and approve the following changes to the CIP budget: remove the second tranche of Public Lands GO Bonds from the Key Changes document; allow the Administration to use $300,000 for CPTED lighting; all other funding will be discussed at the briefings as scheduled and approved at the August 19th Council Meeting.",Budget Amendment,7-0 Pass,Daniel Dugan,Eva Lopez Chavez,Chris Wharton,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,3,Exit the closed meeting.,Procedural/Administrative,6-0 Pass,Chris Wharton,Eva Lopez Chavez,Daniel Dugan,Aye,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,3,"Close the public hearing and approve the following changes to the CIP budget: remove the second tranche of Public Lands GO Bonds from the Key Changes document; allow the Administration to use $300,000 for CPTED lighting; all other funding will be discussed at the briefings as scheduled and approved at the August 19th Council Meeting.",Budget Amendment,7-0 Pass,Daniel Dugan,Eva Lopez Chavez,Daniel Dugan,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,3,Exit the closed meeting.,Procedural/Administrative,6-0 Pass,Chris Wharton,Eva Lopez Chavez,Darin Mano,Aye,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,3,"Close the public hearing and approve the following changes to the CIP budget: remove the second tranche of Public Lands GO Bonds from the Key Changes document; allow the Administration to use $300,000 for CPTED lighting; all other funding will be discussed at the briefings as scheduled and approved at the August 19th Council Meeting.",Budget Amendment,7-0 Pass,Daniel Dugan,Eva Lopez Chavez,Darin Mano,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,3,Exit the closed meeting.,Procedural/Administrative,6-0 Pass,Chris Wharton,Eva Lopez Chavez,Eva Lopez Chavez,Aye,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,3,"Close the public hearing and approve the following changes to the CIP budget: remove the second tranche of Public Lands GO Bonds from the Key Changes document; allow the Administration to use $300,000 for CPTED lighting; all other funding will be discussed at the briefings as scheduled and approved at the August 19th Council Meeting.",Budget Amendment,7-0 Pass,Daniel Dugan,Eva Lopez Chavez,Eva Lopez Chavez,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,3,Exit the closed meeting.,Procedural/Administrative,6-0 Pass,Chris Wharton,Eva Lopez Chavez,Sarah Young,Aye,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,3,"Close the public hearing and approve the following changes to the CIP budget: remove the second tranche of Public Lands GO Bonds from the Key Changes document; allow the Administration to use $300,000 for CPTED lighting; all other funding will be discussed at the briefings as scheduled and approved at the August 19th Council Meeting.",Budget Amendment,7-0 Pass,Daniel Dugan,Eva Lopez Chavez,Sarah Young,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,3,Exit the closed meeting.,Procedural/Administrative,6-0 Pass,Chris Wharton,Eva Lopez Chavez,Victoria Petro,Absent,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,3,"Close the public hearing and approve the following changes to the CIP budget: remove the second tranche of Public Lands GO Bonds from the Key Changes document; allow the Administration to use $300,000 for CPTED lighting; all other funding will be discussed at the briefings as scheduled and approved at the August 19th Council Meeting.",Budget Amendment,7-0 Pass,Daniel Dugan,Eva Lopez Chavez,Victoria Petro,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,4,"Adopt Ordinance 47 of 2025, approving the Mixed-Use Zoning consolidation petition and accompanying ordinances including a geographically specific stepback in the Sugar House additional height area, setting the effective date three months after adoption, and adopting legislative actions to review interior block study for potential downzones, update the Central Community master plan, review on-street parking policies, and request the administration review standards for new construction adjacent to contributing structures in historic districts.",Ordinance,4-3 Pass,Daniel Dugan,Alejandro Puy,Alejandro Puy,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,4,"Adopt Ordinance 47 of 2025, approving the Mixed-Use Zoning consolidation petition and accompanying ordinances including a geographically specific stepback in the Sugar House additional height area, setting the effective date three months after adoption, and adopting legislative actions to review interior block study for potential downzones, update the Central Community master plan, review on-street parking policies, and request the administration review standards for new construction adjacent to contributing structures in historic districts.",Ordinance,4-3 Pass,Daniel Dugan,Alejandro Puy,Chris Wharton,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,4,"Adopt Ordinance 47 of 2025, approving the Mixed-Use Zoning consolidation petition and accompanying ordinances including a geographically specific stepback in the Sugar House additional height area, setting the effective date three months after adoption, and adopting legislative actions to review interior block study for potential downzones, update the Central Community master plan, review on-street parking policies, and request the administration review standards for new construction adjacent to contributing structures in historic districts.",Ordinance,4-3 Pass,Daniel Dugan,Alejandro Puy,Daniel Dugan,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,4,"Adopt Ordinance 47 of 2025, approving the Mixed-Use Zoning consolidation petition and accompanying ordinances including a geographically specific stepback in the Sugar House additional height area, setting the effective date three months after adoption, and adopting legislative actions to review interior block study for potential downzones, update the Central Community master plan, review on-street parking policies, and request the administration review standards for new construction adjacent to contributing structures in historic districts.",Ordinance,4-3 Pass,Daniel Dugan,Alejandro Puy,Darin Mano,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,4,"Adopt Ordinance 47 of 2025, approving the Mixed-Use Zoning consolidation petition and accompanying ordinances including a geographically specific stepback in the Sugar House additional height area, setting the effective date three months after adoption, and adopting legislative actions to review interior block study for potential downzones, update the Central Community master plan, review on-street parking policies, and request the administration review standards for new construction adjacent to contributing structures in historic districts.",Ordinance,4-3 Pass,Daniel Dugan,Alejandro Puy,Eva Lopez Chavez,Nay,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,4,"Adopt Ordinance 47 of 2025, approving the Mixed-Use Zoning consolidation petition and accompanying ordinances including a geographically specific stepback in the Sugar House additional height area, setting the effective date three months after adoption, and adopting legislative actions to review interior block study for potential downzones, update the Central Community master plan, review on-street parking policies, and request the administration review standards for new construction adjacent to contributing structures in historic districts.",Ordinance,4-3 Pass,Daniel Dugan,Alejandro Puy,Sarah Young,Nay,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,4,"Adopt Ordinance 47 of 2025, approving the Mixed-Use Zoning consolidation petition and accompanying ordinances including a geographically specific stepback in the Sugar House additional height area, setting the effective date three months after adoption, and adopting legislative actions to review interior block study for potential downzones, update the Central Community master plan, review on-street parking policies, and request the administration review standards for new construction adjacent to contributing structures in historic districts.",Ordinance,4-3 Pass,Daniel Dugan,Alejandro Puy,Victoria Petro,Nay,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,5,"Adopt Resolution 19 of 2025, naming the northeast baseball field at Riverside Park as the ""Neil Draper Field"".",Ceremonial Resolution,7-0 Pass,Victoria Petro,Alejandro Puy,Alejandro Puy,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,5,"Adopt Resolution 19 of 2025, naming the northeast baseball field at Riverside Park as the ""Neil Draper Field"".",Ceremonial Resolution,7-0 Pass,Victoria Petro,Alejandro Puy,Chris Wharton,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,5,"Adopt Resolution 19 of 2025, naming the northeast baseball field at Riverside Park as the ""Neil Draper Field"".",Ceremonial Resolution,7-0 Pass,Victoria Petro,Alejandro Puy,Daniel Dugan,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,5,"Adopt Resolution 19 of 2025, naming the northeast baseball field at Riverside Park as the ""Neil Draper Field"".",Ceremonial Resolution,7-0 Pass,Victoria Petro,Alejandro Puy,Darin Mano,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,5,"Adopt Resolution 19 of 2025, naming the northeast baseball field at Riverside Park as the ""Neil Draper Field"".",Ceremonial Resolution,7-0 Pass,Victoria Petro,Alejandro Puy,Eva Lopez Chavez,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,5,"Adopt Resolution 19 of 2025, naming the northeast baseball field at Riverside Park as the ""Neil Draper Field"".",Ceremonial Resolution,7-0 Pass,Victoria Petro,Alejandro Puy,Sarah Young,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,5,"Adopt Resolution 19 of 2025, naming the northeast baseball field at Riverside Park as the ""Neil Draper Field"".",Ceremonial Resolution,7-0 Pass,Victoria Petro,Alejandro Puy,Victoria Petro,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,6,Adopt the Consent Agenda.,Procedural/Administrative,7-0 Pass,Eva Lopez Chavez,Daniel Dugan,Alejandro Puy,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,6,Adopt the Consent Agenda.,Procedural/Administrative,7-0 Pass,Eva Lopez Chavez,Daniel Dugan,Chris Wharton,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,6,Adopt the Consent Agenda.,Procedural/Administrative,7-0 Pass,Eva Lopez Chavez,Daniel Dugan,Daniel Dugan,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,6,Adopt the Consent Agenda.,Procedural/Administrative,7-0 Pass,Eva Lopez Chavez,Daniel Dugan,Darin Mano,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,6,Adopt the Consent Agenda.,Procedural/Administrative,7-0 Pass,Eva Lopez Chavez,Daniel Dugan,Eva Lopez Chavez,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,6,Adopt the Consent Agenda.,Procedural/Administrative,7-0 Pass,Eva Lopez Chavez,Daniel Dugan,Sarah Young,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,6,Adopt the Consent Agenda.,Procedural/Administrative,7-0 Pass,Eva Lopez Chavez,Daniel Dugan,Victoria Petro,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
