date,year,title,body,slug,path,source,source_url,format
2022-09-13,2022,City Council Regular Meeting,Council,council-regular,minutes/2022/2022-09-13_council_92.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_09132022-92,pdf-text
2022-09-27,2022,City Council Regular Meeting,Council,council-regular,minutes/2022/2022-09-27_council_93.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_09272022-93,pdf-text
2022-10-11,2022,City Council Regular Meeting,Council,council-regular,minutes/2022/2022-10-11_council_90.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_10112022-90,pdf-text
2022-10-25,2022,City Council Regular Meeting,Council,council-regular,minutes/2022/2022-10-25_council_91.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_10252022-91,pdf-text
2022-11-22,2022,City Council Regular Meeting,Council,council-regular,minutes/2022/2022-11-22_council_89.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_11222022-89,pdf-text
2022-12-13,2022,City Council Regular Meeting,Council,council-regular,minutes/2022/2022-12-13_council_73.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_12132022-73,pdf-text
2023-01-10,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-01-10_council_87.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_01102023-87,pdf-text
2023-01-24,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-01-24_council_79.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_01242023-79,pdf-text
2023-02-14,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-02-14_council_75.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_02142023-75,pdf-text
2023-02-28,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-02-28_council_86.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_02282023-86,pdf-text
2023-03-14,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-03-14_council_95.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_03142023-95,pdf-text
2023-03-28,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-03-28_council_97.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_03282023-97,pdf-text
2023-04-11,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-04-11_council_76.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_04112023-76,pdf-text
2023-04-25,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-04-25_council_69.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_04252023-69,pdf-text
