date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2022-12-15,2022,City Council,Council,5,Council Member Toly moved to remove Item One from the Consent Agenda,Procedural/Administrative,5-0 Pass,Tana Toly,Jeremy Rubell,Jeremy Rubell,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,5,Council Member Toly moved to remove Item One from the Consent Agenda,Procedural/Administrative,5-0 Pass,Tana Toly,Jeremy Rubell,Max Doilney,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,5,Council Member Toly moved to remove Item One from the Consent Agenda,Procedural/Administrative,5-0 Pass,Tana Toly,Jeremy Rubell,Ryan Dickey,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,5,Council Member Toly moved to remove Item One from the Consent Agenda,Procedural/Administrative,5-0 Pass,Tana Toly,Jeremy Rubell,Tana Toly,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,6,Council Member Doilney moved to approve Consent Agenda Items Two and Three,Procedural/Administrative,5-0 Pass,Max Doilney,Jeremy Rubell,Becca Gerber,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,6,Council Member Doilney moved to approve Consent Agenda Items Two and Three,Procedural/Administrative,5-0 Pass,Max Doilney,Jeremy Rubell,Jeremy Rubell,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,6,Council Member Doilney moved to approve Consent Agenda Items Two and Three,Procedural/Administrative,5-0 Pass,Max Doilney,Jeremy Rubell,Max Doilney,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,6,Council Member Doilney moved to approve Consent Agenda Items Two and Three,Procedural/Administrative,5-0 Pass,Max Doilney,Jeremy Rubell,Ryan Dickey,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,6,Council Member Doilney moved to approve Consent Agenda Items Two and Three,Procedural/Administrative,5-0 Pass,Max Doilney,Jeremy Rubell,Tana Toly,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,7,Council Member Doilney moved to approve the Special Event Temporary Alcoholic Beverage Licenses during the 2023 Sundance Film Festival as amended,Other,5-0 Pass,Max Doilney,Tana Toly,Becca Gerber,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,7,Council Member Doilney moved to approve the Special Event Temporary Alcoholic Beverage Licenses during the 2023 Sundance Film Festival as amended,Other,5-0 Pass,Max Doilney,Tana Toly,Jeremy Rubell,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,7,Council Member Doilney moved to approve the Special Event Temporary Alcoholic Beverage Licenses during the 2023 Sundance Film Festival as amended,Other,5-0 Pass,Max Doilney,Tana Toly,Max Doilney,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,7,Council Member Doilney moved to approve the Special Event Temporary Alcoholic Beverage Licenses during the 2023 Sundance Film Festival as amended,Other,5-0 Pass,Max Doilney,Tana Toly,Ryan Dickey,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,7,Council Member Doilney moved to approve the Special Event Temporary Alcoholic Beverage Licenses during the 2023 Sundance Film Festival as amended,Other,5-0 Pass,Max Doilney,Tana Toly,Tana Toly,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,8,"Council Member Doilney moved to approve Ordinance 2022-47, an ordinance amending the Annexation and Zoning Ordinance No. 2012-12, for approximately 20.46 acres of property located at 3981 Kearns Boulevard, in the Quinn's Junction area, known as The Park City Film Studios First Amended Subdivision Lot 1B, Park City. Utah",Land-Use/Zoning,3-2 Pass,Max Doilney,Becca Gerber,Becca Gerber,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,8,"Council Member Doilney moved to approve Ordinance 2022-47, an ordinance amending the Annexation and Zoning Ordinance No. 2012-12, for approximately 20.46 acres of property located at 3981 Kearns Boulevard, in the Quinn's Junction area, known as The Park City Film Studios First Amended Subdivision Lot 1B, Park City. Utah",Land-Use/Zoning,3-2 Pass,Max Doilney,Becca Gerber,Jeremy Rubell,Nay,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,8,"Council Member Doilney moved to approve Ordinance 2022-47, an ordinance amending the Annexation and Zoning Ordinance No. 2012-12, for approximately 20.46 acres of property located at 3981 Kearns Boulevard, in the Quinn's Junction area, known as The Park City Film Studios First Amended Subdivision Lot 1B, Park City. Utah",Land-Use/Zoning,3-2 Pass,Max Doilney,Becca Gerber,Max Doilney,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,8,"Council Member Doilney moved to approve Ordinance 2022-47, an ordinance amending the Annexation and Zoning Ordinance No. 2012-12, for approximately 20.46 acres of property located at 3981 Kearns Boulevard, in the Quinn's Junction area, known as The Park City Film Studios First Amended Subdivision Lot 1B, Park City. Utah",Land-Use/Zoning,3-2 Pass,Max Doilney,Becca Gerber,Ryan Dickey,Nay,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,8,"Council Member Doilney moved to approve Ordinance 2022-47, an ordinance amending the Annexation and Zoning Ordinance No. 2012-12, for approximately 20.46 acres of property located at 3981 Kearns Boulevard, in the Quinn's Junction area, known as The Park City Film Studios First Amended Subdivision Lot 1B, Park City. Utah",Land-Use/Zoning,3-2 Pass,Max Doilney,Becca Gerber,Tana Toly,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,9,Council Member Rubell moved to approve a Level Five Special Event Permit for the 2023 Sundance Film Festival in a form approved by the City Attorney,Other,5-0 Pass,Jeremy Rubell,Max Doilney,Becca Gerber,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,9,Council Member Rubell moved to approve a Level Five Special Event Permit for the 2023 Sundance Film Festival in a form approved by the City Attorney,Other,5-0 Pass,Jeremy Rubell,Max Doilney,Jeremy Rubell,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,9,Council Member Rubell moved to approve a Level Five Special Event Permit for the 2023 Sundance Film Festival in a form approved by the City Attorney,Other,5-0 Pass,Jeremy Rubell,Max Doilney,Max Doilney,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,9,Council Member Rubell moved to approve a Level Five Special Event Permit for the 2023 Sundance Film Festival in a form approved by the City Attorney,Other,5-0 Pass,Jeremy Rubell,Max Doilney,Ryan Dickey,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,9,Council Member Rubell moved to approve a Level Five Special Event Permit for the 2023 Sundance Film Festival in a form approved by the City Attorney,Other,5-0 Pass,Jeremy Rubell,Max Doilney,Tana Toly,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,10,"Council Member Toly moved to authorize the following annual insurance premiums to fund the city’s insurance placements for the 2023 calendar year: property insurance: $316,267 and auto physical damage: $98,568 to Liberty Mutual; public entity liability insurance: $264,233 to States Self-Insurers Risk Retention Group, Inc.; workers’ compensation insurance: $243,820 for the Workers Compensation Fund; crime insurance: $4,427 to Travelers Insurance Co., and $4,500 for a special Treasurer's Bond; and drone insurance: $1,688 to Global Aerospace",Land-Use/Zoning,5-0 Pass,Tana Toly,Becca Gerber,Becca Gerber,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,10,"Council Member Toly moved to authorize the following annual insurance premiums to fund the city’s insurance placements for the 2023 calendar year: property insurance: $316,267 and auto physical damage: $98,568 to Liberty Mutual; public entity liability insurance: $264,233 to States Self-Insurers Risk Retention Group, Inc.; workers’ compensation insurance: $243,820 for the Workers Compensation Fund; crime insurance: $4,427 to Travelers Insurance Co., and $4,500 for a special Treasurer's Bond; and drone insurance: $1,688 to Global Aerospace",Land-Use/Zoning,5-0 Pass,Tana Toly,Becca Gerber,Jeremy Rubell,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,10,"Council Member Toly moved to authorize the following annual insurance premiums to fund the city’s insurance placements for the 2023 calendar year: property insurance: $316,267 and auto physical damage: $98,568 to Liberty Mutual; public entity liability insurance: $264,233 to States Self-Insurers Risk Retention Group, Inc.; workers’ compensation insurance: $243,820 for the Workers Compensation Fund; crime insurance: $4,427 to Travelers Insurance Co., and $4,500 for a special Treasurer's Bond; and drone insurance: $1,688 to Global Aerospace",Land-Use/Zoning,5-0 Pass,Tana Toly,Becca Gerber,Max Doilney,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,10,"Council Member Toly moved to authorize the following annual insurance premiums to fund the city’s insurance placements for the 2023 calendar year: property insurance: $316,267 and auto physical damage: $98,568 to Liberty Mutual; public entity liability insurance: $264,233 to States Self-Insurers Risk Retention Group, Inc.; workers’ compensation insurance: $243,820 for the Workers Compensation Fund; crime insurance: $4,427 to Travelers Insurance Co., and $4,500 for a special Treasurer's Bond; and drone insurance: $1,688 to Global Aerospace",Land-Use/Zoning,5-0 Pass,Tana Toly,Becca Gerber,Ryan Dickey,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,Council,10,"Council Member Toly moved to authorize the following annual insurance premiums to fund the city’s insurance placements for the 2023 calendar year: property insurance: $316,267 and auto physical damage: $98,568 to Liberty Mutual; public entity liability insurance: $264,233 to States Self-Insurers Risk Retention Group, Inc.; workers’ compensation insurance: $243,820 for the Workers Compensation Fund; crime insurance: $4,427 to Travelers Insurance Co., and $4,500 for a special Treasurer's Bond; and drone insurance: $1,688 to Global Aerospace",Land-Use/Zoning,5-0 Pass,Tana Toly,Becca Gerber,Tana Toly,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,HA,11,Board Member Doilney moved to approve the Studio Crossing Housing Mitigation Plan to fulfill the affordable housing obligation generated by the proposed Studio Crossing Project,Other,4-0 Pass,Max Doilney,Ryan Dickey,Becca Gerber,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,HA,11,Board Member Doilney moved to approve the Studio Crossing Housing Mitigation Plan to fulfill the affordable housing obligation generated by the proposed Studio Crossing Project,Other,4-0 Pass,Max Doilney,Ryan Dickey,Jeremy Rubell,Absent,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,HA,11,Board Member Doilney moved to approve the Studio Crossing Housing Mitigation Plan to fulfill the affordable housing obligation generated by the proposed Studio Crossing Project,Other,4-0 Pass,Max Doilney,Ryan Dickey,Max Doilney,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,HA,11,Board Member Doilney moved to approve the Studio Crossing Housing Mitigation Plan to fulfill the affordable housing obligation generated by the proposed Studio Crossing Project,Other,4-0 Pass,Max Doilney,Ryan Dickey,Ryan Dickey,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2022-12-15,2022,City Council,HA,11,Board Member Doilney moved to approve the Studio Crossing Housing Mitigation Plan to fulfill the affordable housing obligation generated by the proposed Studio Crossing Project,Other,4-0 Pass,Max Doilney,Ryan Dickey,Tana Toly,Aye,minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
