candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Darren Park,Council,2025,2025-10-29,General Election Report (pre-general),interim,0.00,2862.38,3845.13,982.75,0.00,2862.38,True,True,0.00,0.00,0.00,0,4,raw/2025_park_general-election-report.pdf,3a37fdf7,medium,vision-transcribed(read-tool),
Rustin Lance,Council,2025,2025-10-07,Pre-General 28-Day Report,interim,0.00,1492.06,0.00,-1492.06,0.00,1492.06,True,True,0.00,0.00,0.00,0,5,raw/2025_lance_28-day-report.pdf,95f69d85,high,vision-transcribed(read-tool),
Rustin Lance,Council,2025,2025-10-29,General Election Report (pre-general),interim,,575.00,575.00,,,575.00,,True,,0.00,0.00,0,6,raw/2025_lance_general-election-report.pdf,c498ac4b,low,vision-transcribed(read-tool),
Shannon Smith,Council,2025,2025-10-07,Pre-General 28-Day Report,interim,16743.00,7457.57,0.00,9285.43,16743.00,7457.57,True,True,0.00,0.00,7000.00,63,27,raw/2025_smith_28-day-report.pdf,fcc4f76c,high,"text-transcribed(born-digital layer, not vision)",
Shannon Smith,Council,2025,2025-10-29,General Election Report (pre-general),interim,920.81,4859.78,9285.43,5346.46,920.81,4857.78,True,False,0.00,-2.00,0.00,6,9,raw/2025_smith_general-election-report.pdf,7b1b5b68,low,vision-transcribed(read-tool); expend!=stated,
Shannon Smith,Council,2025,2025-12-05,Post-Election Report,summary,1520.00,6615.99,5346.46,250.47,1520.00,6615.99,True,True,0.00,0.00,1000.00,3,4,raw/2025_smith_post-election-report.pdf,ee85df50,high,vision-transcribed(read-tool),
Tawnee McCay,Mayor,2025,2025-08-06,Pre-Primary Election Report,interim,18415.55,10386.76,2645.09,10673.88,18415.55,5026.66,True,False,0.00,-5360.10,0.00,38,40,raw/2025_mccay_primary-election-report.pdf,f233622b,low,vision-transcribed(read-tool); expend!=stated,
Tawnee McCay,Mayor,2025,2025-10-07,Pre-General 28-Day Report,interim,7175.00,1455.93,10673.88,16392.95,7175.00,1455.93,True,True,0.00,0.00,0.00,7,11,raw/2025_mccay_28-day-report.pdf,4fd083dc,high,"text-transcribed(born-digital layer, not vision)",
Tawnee McCay,Mayor,2025,2025-10-29,General Election Report (pre-general),interim,5100.00,13803.35,16392.95,7689.60,5100.00,13803.35,True,True,0.00,0.00,0.00,14,14,raw/2025_mccay_general-election-report.pdf,5bd0abde,medium,vision-transcribed(read-tool),
Tawnee McCay,Mayor,2025,2025-12-05,Post-Election Report,summary,0.00,773.73,7689.60,6915.87,0.00,773.73,True,True,0.00,0.00,0.00,0,4,raw/2025_mccay_post-election-report.pdf,ffcb8950,high,vision-transcribed(read-tool),
Tish Buroker,Mayor,2025,2025-08-06,Pre-Primary Election Report,interim,19950.00,14003.71,5000.00,5946.29,19950.00,14003.71,True,True,0.00,0.00,10000.00,21,26,raw/2025_buroker_primary-election-report.pdf,8ddf6029,medium,vision-transcribed(read-tool),
Tish Buroker,Mayor,2025,2025-10-07,Pre-General 28-Day Report,interim,6000.00,8692.41,5946.29,3253.88,6000.00,8692.46,True,False,0.00,0.05,5000.00,4,13,raw/2025_buroker_28-day-report.pdf,b26105f0,low,"text-transcribed(born-digital layer, not vision); expend!=stated",
Tish Buroker,Mayor,2025,2025-10-29,General Election Report (pre-general),interim,4000.00,2399.98,5107.48,3707.50,4000.00,2399.98,True,True,0.00,0.00,3000.00,2,3,raw/2025_buroker_general-election-report.pdf,cdaabfda,medium,vision-transcribed(read-tool),
Tish Buroker,Mayor,2025,2025-12-05,Post-Election Report,summary,2400.00,1836.49,3707.50,2871.01,2400.00,1836.49,True,True,0.00,0.00,0.00,6,5,raw/2025_buroker_post-election-report.pdf,6992d705,high,"text-transcribed(born-digital layer, not vision)",
