week_ending,period_start,n_comments,n_meetings,n_motions,n_contested,meeting_types
2024-02-27,2024-02-21,0,1,0,0,city council meeting
2024-03-26,2024-03-20,0,1,18,2,city council meeting
2024-04-09,2024-04-03,0,2,13,2,building authority meeting; city council meeting
2024-04-23,2024-04-17,0,1,14,0,city council meeting_clip652
2024-04-30,2024-04-24,0,1,1,0,city council meeting
2024-05-07,2024-05-01,0,1,2,0,city council meeting
2024-05-14,2024-05-08,0,2,16,1,building authority meeting; city council meeting
2024-05-28,2024-05-22,0,2,11,0,building authority meeting; city council meeting_clip666
2024-06-04,2024-05-29,0,1,0,0,city council meeting
2024-06-11,2024-06-05,0,1,16,0,city council meeting
2024-06-18,2024-06-12,0,2,2,0,city council meeting_clip673; city council meeting_clip698
2024-07-02,2024-06-26,0,1,1,0,city council meeting
2024-07-09,2024-07-03,0,1,9,2,city council meeting
2024-07-23,2024-07-17,0,1,6,0,city council meeting_clip687
2024-08-06,2024-07-31,0,1,1,0,city council meeting
2024-08-13,2024-08-07,0,1,8,0,city council meeting
2024-08-20,2024-08-14,0,1,0,0,city council meeting
2024-08-27,2024-08-21,0,1,7,0,city council meeting
2024-09-03,2024-08-28,0,1,0,0,city council meeting
2024-09-10,2024-09-04,0,1,8,0,city council meeting_clip697
2024-09-24,2024-09-18,0,1,2,0,city council meeting
2024-10-08,2024-10-02,0,1,10,3,city council meeting
2024-10-22,2024-10-16,0,1,4,0,city council meeting
2024-11-12,2024-11-06,0,1,5,0,city council meeting
2024-12-03,2024-11-27,0,1,1,0,city council meeting
2024-12-10,2024-12-04,0,1,8,1,city council meeting
2025-01-07,2025-01-01,0,1,0,0,city council meeting
2025-01-14,2025-01-08,0,1,12,0,city council meeting
2025-01-28,2025-01-22,0,1,8,0,city council meeting
2025-02-04,2025-01-29,0,1,1,0,city council meeting
2025-02-11,2025-02-05,0,1,5,0,city council meeting
2025-03-04,2025-02-26,0,1,1,0,city council meeting
2025-03-18,2025-03-12,0,1,17,3,city council meeting
2025-04-08,2025-04-02,0,2,17,1,building authority meeting; city council meeting
2025-04-22,2025-04-16,0,1,11,0,city council meeting
2025-05-06,2025-04-30,0,1,1,0,city council meeting
2025-05-13,2025-05-07,0,1,14,0,city council meeting
2025-05-27,2025-05-21,0,2,11,1,building authority meeting; city council meeting
2025-06-10,2025-06-04,0,1,19,0,city council meeting
2025-07-08,2025-07-02,0,1,3,0,city council meeting
2025-07-22,2025-07-16,0,1,0,0,city council meeting
2025-08-05,2025-07-30,0,1,1,0,city council meeting
2025-08-26,2025-08-20,0,1,20,5,city council meeting
2025-09-09,2025-09-03,0,1,12,1,city council meeting
2025-09-23,2025-09-17,0,1,11,0,city council meeting
2025-10-14,2025-10-08,0,1,7,1,city council meeting
2025-10-28,2025-10-22,0,1,6,0,city council meeting
2025-11-18,2025-11-12,0,1,12,1,city council meeting
2025-12-02,2025-11-26,0,1,2,0,city council meeting
2025-12-16,2025-12-10,0,1,15,5,city council meeting
2025-12-23,2025-12-17,0,1,2,0,city council meeting
2026-01-06,2025-12-31,0,1,1,0,city council meeting_clip936
2026-01-13,2026-01-07,0,1,4,0,city council meeting
2026-01-27,2026-01-21,0,1,11,0,city council meeting_clip947
