date,year,title,slug,path,source,source_url,format
2020-08-26,2020,"2020, AMENDED City Council Regular Meeting Agenda PDF",council_2020-08-26_801,minutes/2020/2020-08-24/council_2020-08-26_801.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_08262020-801,text
2020-09-09,2020,"2020, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2020-09-09_807,minutes/2020/2020-09-07/council_2020-09-09_807.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_09092020-807,text
2020-09-09,2020,"2020, City Council Regular Meeting Agenda PDF",council_2020-09-09_808,minutes/2020/2020-09-07/council_2020-09-09_808.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_09092020-808,text
2020-09-23,2020,"2020, City Council Regular Meeting Agenda PDF",council_2020-09-23_811,minutes/2020/2020-09-21/council_2020-09-23_811.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_09232020-811,text
2020-10-28,2020,"2020, AMENDED City Council Regular Meeting Agenda PDF",council_2020-10-28_824,minutes/2020/2020-10-26/council_2020-10-28_824.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_10282020-824,text
2020-11-18,2020,"2020, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2020-11-18_830,minutes/2020/2020-11-16/council_2020-11-18_830.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_11182020-830,text
2020-11-18,2020,"2020, AMENDED City Council Regular Meeting Agenda PDF",council_2020-11-18_831,minutes/2020/2020-11-16/council_2020-11-18_831.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_11182020-831,text
2020-12-09,2020,"2020, City Council and Planning Commission Special Joint Electronic Meeting Agenda PDF",council_2020-12-09_840,minutes/2020/2020-12-07/council_2020-12-09_840.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_12092020-840,text
2020-12-09,2020,"2020, AMENDED City Council, LBA & RDA Combined Electronic Meeting Agenda PDF",council_2020-12-09_841,minutes/2020/2020-12-07/council_2020-12-09_841.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_12092020-841,text
2021-01-13,2021,"2021, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2021-01-13_848,minutes/2021/2021-01-11/council_2021-01-13_848.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01132021-848,text
2021-01-13,2021,"2021, AMENDED City Council, LBA & RDA Combined Meeting Agenda PDF",council_2021-01-13_849,minutes/2021/2021-01-11/council_2021-01-13_849.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01132021-849,text
2021-01-27,2021,"2021, AMENDED City Council Regular Meeting Agenda PDF",council_2021-01-27_857,minutes/2021/2021-01-25/council_2021-01-27_857.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01272021-857,text
2021-02-10,2021,"2021, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2021-02-10_865,minutes/2021/2021-02-08/council_2021-02-10_865.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_02102021-865,text
2021-02-10,2021,"2021, City Council Regular Meeting Agenda PDF",council_2021-02-10_866,minutes/2021/2021-02-08/council_2021-02-10_866.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_02102021-866,text
2021-02-24,2021,"2021, City Council Regular Meeting Agenda PDF",council_2021-02-24_872,minutes/2021/2021-02-22/council_2021-02-24_872.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_02242021-872,text
2021-03-10,2021,"2021, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2021-03-10_876,minutes/2021/2021-03-08/council_2021-03-10_876.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_03102021-876,text
2021-03-10,2021,"2021, City Council Regular Meeting Agenda PDF",council_2021-03-10_877,minutes/2021/2021-03-08/council_2021-03-10_877.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_03102021-877,text
2021-03-24,2021,"2021, AMENDED City Council Regular Meeting Agenda PDF",council_2021-03-24_883,minutes/2021/2021-03-22/council_2021-03-24_883.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_03242021-883,text
2021-04-14,2021,"2021, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2021-04-14_892,minutes/2021/2021-04-12/council_2021-04-14_892.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_04142021-892,text
2021-04-14,2021,"2021, City Council Regular Meeting Agenda PDF",council_2021-04-14_893,minutes/2021/2021-04-12/council_2021-04-14_893.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_04142021-893,text
2021-04-28,2021,"2021, City Council, LBA & RDA Combined Meeting Agenda PDF",council_2021-04-28_899,minutes/2021/2021-04-26/council_2021-04-28_899.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_04282021-899,text
2021-05-12,2021,"2021, City Council & Local Building Authority Combined Meeting Agenda PDF",council_2021-05-12_908,minutes/2021/2021-05-10/council_2021-05-12_908.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05122021-908,text
