ordinance_no,adoption_date,reason,source_url,title
2026-6,2026-02-10,adopted_meeting_extracted_but_no_matching_motion,https://www.utah.gov/pmn/sitemap/notice/1060861.html,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF REAL PROPERTY, GENERALLY LOCATED AT 1560 SOUTH 1100 WEST, FROM THE AGRICULTURAL (A1.5) AND RESIDENTIAL AGRICULTURAL (RA) ZONES TO THE NEIGHBORHOOD SHOPPING CENTER (SC1) AND VERY LOW DENSITY (VLDR) ZONES. LAKEWOOD NEIGHBORHOOD. (PLRZ20250028)"
2026-14,2026-05-26,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1087119.html,AN ORDINANCE AMENDING PROVO CITY CODE TO ADD A CARETAKER DWELLING AS A PERMITTED ACCESSORY USE IN THE GENERAL COMMERCIAL ZONE. (PLOTA20260119)
2026-15,2026-05-26,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1087119.html,AN ORDINANCE PROHIBITING VIRTUAL CURRENCY KIOSKS WITHIN PROVO CITY. (26-027)
2026-16,2026-06-09,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1087945.html,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF REAL PROPERTY, GENERALLY LOCATED AT 5568 N CANYON ROAD, FROM THE MEDIUM DENSITY RESIDENTIAL (MDR) ZONE TO THE ARBORS ON THE AVENUE (PRO-A10) ZONE. NORTH TIMPVIEW NEIGHBORHOOD. (PLRZ20260076)"
2026-17,2026-06-09,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1087945.html,AN ORDINANCE AMENDING PROVO CITY CODE REGARDING FLOODPLAIN MANAGEMENT AND DEVELOPMENT STANDARDS. (PLOTA20260185)
2026-18,2026-06-23,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1092255.html,AN ORDINANCE CHANGING SOLID WASTE REGULATIONS AND RELATED NOISE ORDINANCE EXEMPTIONS. (26-042)
2026-19,2026-06-23,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1092255.html,AN ORDINANCE AMENDING THE GENERAL PLAN TO ADD THE STORM DRAIN MASTER PLAN. (PLGPA20260193)
2026-20,2026-06-23,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1092255.html,AN ORDINANCE AMENDING THE GENERAL PLAN TO UPDATE THE WASTEWATER COLLECTION MASTER PLAN. (PLGPA20260191)
2026-21,2026-06-23,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1092255.html,AN ORDINANCE AMENDING PROVO CITY CODE REGARDING THE REQUIREMENTS FOR AN AGRICULTURAL PROTECTION AREA. (PLOTA20260120)
2026-22,2026-06-23,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1092255.html,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF REAL PROPERTY, GENERALLY LOCATED AT 5450 N CANYON ROAD FROM THE A1.5CH (AGRICULTURAL WITH CRITICAL HILLSIDE OVERLAY) AND THE OSPR (OPEN SPACE PRESERVATION AND RECREATION) ZONES TO THE A1.1CHPD (AGRICULTURAL WITH CRITICAL HILLSIDE OVERLAY AND PERFORMANCE DEVELOPMENT OVERLAY), R1.20CHPD (RESIDENTIAL WITH CRITICAL HILLSIDE OVERLAYAND PERFORMANCE DEVELOPMENT OVERLAY), AND RACHPD (RESIDENTIAL AGRICULTURAL WITH CRITICAL HILLSIDE OVERLAY AND PERFORMANCE DEVELOPMENT OVERLAY) ZONES. NORTH TIMPVIEW (PLRZ20260115)"
2026-23,2026-06-23,meeting_not_in_vote_layer,https://www.utah.gov/pmn/sitemap/notice/1092255.html,"AN ORDINANCE ADOPTING A BUDGET FOR PROVO CITY CORPORATION FOR THE FISCAL YEAR BEGINNING JULY 1, 2026, AND ENDING JUNE 30, 2027, IN THE AMOUNT OF $316,081,674. (26-001)"
