referral_id,confidence,match_method,primary_body,related_body,gap_days,related_application_id,related_date,related_title,primary_application_id,primary_date,primary_title,shared_address,subject_score,note
8,medium,subject,Council,PlanningCommission,9,903,2020-04-28,"Commissioner Curtis made a motion to recommend approval of Item 3A preliminary plat a 6 (six) lot residential subdivision for Monte Vista Estates, with updates to the plats before council with the rural cross section and the turnaround driveways.",56,2020-05-07,A motion was made by Councilmember Randall to approve the preliminary plat for Monte Vista Estates.,,0.768,
61,medium,subject,Council,PlanningCommission,23,1054,2021-06-22,"Commissioner West I move to make a recommendation for #4D consider a request for thirty-four (34) lot residential subdivision known as White Hills oops sorry, wrong one. Consider a request for fifteen (15) lot subdivision known as Riverbend Estates at Sunbrook, located on the north side of Lost Creek Drive.",259,2021-07-15,A motion was made by Councilmember Smethurst to approve the preliminary plat for Riverbend Estates at Sunbrook.,,0.768,
3,medium,subject,Council,PlanningCommission,9,868,2020-01-28,Commissioner Brager makes a motion to recommend approval of item 4 a twenty-two (22) lot residential preliminary plat for Blue Heron Estates incorporating staff comments.,20,2020-02-06,A motion was made by Councilmember Smethurst to approve the preliminary plat for Blue Heron Estates.,,0.775,
119,medium,subject,Council,PlanningCommission,23,1282,2023-06-27,Commissioner Fisher made a motion to recommend approval of Item 6 a preliminary plat for Estates at Copper Ridge with all staff’s conditions and findings.,550,2023-07-20,A motion was made by Councilmember McArthur to approve the preliminary plat for The Estates at Copper Ridge.,,0.786,
33,medium,subject,Council,PlanningCommission,9,994,2021-01-26,Commissioner Larsen made a motion to recommend approval of Item 6A a preliminary plat for Desert Horizon as presented by City staff.,165,2021-02-04,"A motion was made by Councilmember Hughes to approve the preliminary plat for Desert Horizon, a 92-lot residential subdivision located at approximately 3000 East and Broken Mesa Drive.",,0.789,
27,medium,subject,Council,PlanningCommission,9,961,2020-11-10,Commissioner Curtis made a motion to recommend for approval Item 3C a seventeen (17) lot residential preliminary plat for “Johnson Arch at The Ledges Phase 2.”,130,2020-11-19,A motion was made by Councilmember Randall to approve the preliminary plat for Johnson Arch at the Ledges Phase 2.,,0.794,
57,medium,subject,Council,PlanningCommission,9,1030,2021-04-27,"Commissioner Kemp made a motion to recommend approval of Item 4B for a two (2) lot, commercial subdivision known Dino Dash Car Wash – Dixie Drive located at the intersection of Stardust Drive and Dixie Drive with the condition that cross access is provided in the subdivision documents between lots 1 and 2 and to the neighbor to the north.",231,2021-05-06,A motion was made by Councilmember McArthur to approve the preliminary plat for Dino Dash Commercial.,,0.805,
42,medium,subject,Council,PlanningCommission,389,877,2020-02-09,Commissioner Fisher made a motion to recommend approval of Item 2H for Desert Color PD for pod 6.,184,2021-03-04,A motion was made by Councilmember Curtis to approve the ordinance amending the Desert Color PD-R zone to allow a new neighborhood development to be known as Sage Haven (Pod 6) Plat 'A' on approximately 69.72 acres.,,0.806,
46,medium,subject,Council,PlanningCommission,9,1000,2021-03-09,Commissioner Kemp made a motion to recommend for approval to the City Council Item 4A for a two hundred sixty-two (262) lot residential subdivision known as Desert Color Sage Haven Plat B located within the Desert Color Development south of Auburn Hills along the extension of Carnelian Parkway to the south. The property is 58.58 acres and is zoned PD-R.,196,2021-03-18,"A motion was made by Councilmember Smethurst to approve the preliminary plat for Desert Color Sage Haven Plat B, a 262-lot residential subdivision located in the Desert Color development south of Auburn Hills along the southerly extension of Carnelian Parkway.",,0.81,
79,medium,subject,Council,PlanningCommission,23,1106,2021-10-12,Commissioner Anderson made a motion to recommend approval of the general plan amendment for SLR Fields Item 2D.,324,2021-11-04,A motion was made by Councilmember Curtis to approve the ordinance changing the general plan future land-use map from LDR (Low Density Residential) to MDR (Medium Density Residential) on approximately 19.4 acres located east of 3000 East Street and north of 1140 South Street to be known as SLR Fields.,,0.813,
95,medium,subject,Council,PlanningCommission,30,1156,2022-02-22,"Commissioner Kemp made a motion to recommend approval of item number 2 to the City Council a zone change amendment to Riverwoods Business Park Planned Development Commercial to add construction trade services, plumbing shop, electrical shop etc. to the existing use list.",384,2022-03-24,"A motion was made by Councilmember Larsen to approve the ordinance amending the Tonaquint Center Planned Development Residential (PD-C) zone to add ‘Construction trade services, plumbing shop, electrical shop, etc.’ as a permitted use for the Riverwoods Business Park on approximately 1.56 acres located at 904 West 1600 South Street to be known as Riverwoods Business Park at Tonaquint Center.",,0.816,
82,medium,subject,Council,PlanningCommission,23,1122,2021-10-26,Commissioner Anderson made a motion to recommend approval of the hillside permit on the northwest corner of Blackridge Drive including all of staff comments.,335,2021-11-18,"A motion was made by Councilmember Curtis to approve the hillside development permit to allow disturbance of areas in the 20-30%, 30- 40% and 40% and above slope areas on approximately 16.47 acres generally located at the northwest corner of Blackridge Drive and 250 West Street to be known as Black Ridge Hotel including all of the mitigation recommendations from the AGEC report.",,0.817,
49,medium,subject,Council,PlanningCommission,389,889,2020-02-23,"Commissioner West made a motion to recommend approval of Item 5C a seventy-six (76) lot residential subdivision known as Fairway East Phases 1-4, located at approximately 1180 West and 5170 North (Ledges Pkwy)",199,2021-03-18,"A motion was made by Councilmember Larkin to approve the preliminary plat for Fairway East Phases 1-4, a 76-lot residential subdivision located in the Ledges Development at approximately 1180 West and Ledges Parkway.",,0.82,
118,medium,subject,Council,PlanningCommission,9,1287,2023-07-11,Commissioner Anderson made a motion to recommend approval for the Conditional Use Permit for City Hall Item 6.,546,2023-07-20,A motion was made by Councilmember Larkin to approve the conditional use permit to build a new City Hall building and parking structure located on the northeast corner of Main Street and 100 South Street for a project to be called City Hall noting that the exteriors are not presented as they will be.,,0.821,
52,medium,subject,Council,PlanningCommission,65,989,2021-01-26,Commissioner Larsen made a motion to recommend approval of item 4B Abberly Farms as presented.,206,2021-04-01,A motion was made by Councilmember Hughes to approve the preliminary plat for Abberly Farms subject to the agreement being worked out regarding the road alignment and detention basin.,,0.826,
71,medium,subject,Council,PlanningCommission,205,989,2021-01-26,Commissioner Larsen made a motion to recommend approval of item 4B Abberly Farms as presented.,283,2021-08-19,"A motion was made by Councilmember Larkin to approve the preliminary plat for Abberly Farms Amended and Extended, adding an additional residential lot for a total of seven (7) lots.",,0.826,
123,medium,subject,Council,PlanningCommission,9,1304,2023-11-28,Commissioner Draper made a motion to approve the preliminary plat for Dirt Road Ranch.,606,2023-12-07,"A motion was made by Councilmember Larsen to approve the preliminary plat for the Dirt Road Ranch subdivision, a single lot, 2.48-acre preliminary plat located on the south side of Seegmiller Drive at approximately 2650 East.",,0.826,
50,medium,subject,Council,PlanningCommission,9,1001,2021-03-09,Commissioner Larsen made a motion to recommend approval to City Council of Item 4B a preliminary plat for Rosalia Ridge at Divario.,200,2021-03-18,"A motion was made by Councilmember Curtis to approve the preliminary plat for Rosalia Ridge at Divario, 47-lot residential subdivision located in the Divario development south of the Varano Vista subdivision along Divario Canyon Drive at approximately 600 South.",,0.85,
103,medium,subject,Council,PlanningCommission,9,1192,2022-05-10,Commissioner Andrus made a motion to recommend approval for the preliminary plat for the Desert Color CTE Seminary Minor Subdivision.,418,2022-05-19,"A motion was made by Councilmember Larsen to approve the preliminary plat for Desert Color CTE Seminary Minor Subdivision, a 2-lot subdivision located west of the intersection of River Road and White Dome Drive on the west side of the new CTE high school.",,0.867,
