date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,date_precision,sha256,source_page,matched_election_candidate,join_confidence
2025-10-07,Angela Moulton,Council At-Large,2025,interim,28 days before Election,"Angela Moulton — Orem City campaign financial statement (28 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Moulton-28-day.pdf,2026-07-05,text,pdftotext -layout,raw/202510_Moulton-28-day.pdf,cycle_stage,417dc158a8679a089d60262e647b5a5aee2d139f34fcbe079ea2c36a85e5fab8,orem.gov/elections,ANGELA MOULTON,exact
2025-10-28,Angela Moulton,Council At-Large,2025,interim,7 days before Election,"Angela Moulton — Orem City campaign financial statement (7 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Moulton-7-days-1.pdf,2026-07-05,text,pdftotext -layout,raw/202510_Moulton-7-days-1.pdf,cycle_stage,8e67d36c79a661eec11029340095fce606de535e9d5f8b246061c432b7657cd5,orem.gov/elections,ANGELA MOULTON,exact
2025-11-25,Angela Moulton,Council At-Large,2025,summary,Final Report,"Angela Moulton — Orem City campaign financial statement (Final Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/12/Moulton-Final.pdf,2026-07-05,text,pdftotext -layout,raw/202512_Moulton-Final.pdf,cycle_stage,0aececa7d63d8fbfa408c82318f7f052a89270ff901d238828fca767b9396047,orem.gov/elections,ANGELA MOULTON,exact
2025-08-05,Archie Williams,Council At-Large,2025,interim,Primary Report,"Archie Williams — Orem City campaign financial statement (Primary Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/08/Archie-Williams-Primary-Declaration.pdf,2026-07-05,scanned,ocr:tesseract,raw/202508_Archie-Williams-Primary-Declaration.pdf,cycle_stage,16b28bf765c87fc28046acfae2439c33c1de64230f5cd672ef0c7384c5b4673a,orem.gov/elections,ARCHIE WILLIAMS,exact
2025-11-25,Archie Williams,Council At-Large,2025,summary,Final Report,"Archie Williams — Orem City campaign financial statement (Final Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/09/Archie-Williams-final-disclosure.pdf,2026-07-05,scanned,ocr:tesseract,raw/202509_Archie-Williams-final-disclosure.pdf,cycle_stage,4d43f0709617e4623bacad7dc5ddfc2d133c1c66755d210c35f29fa826225157,orem.gov/elections,ARCHIE WILLIAMS,exact
2025-08-05,Crystal Muhlestein,Council At-Large,2025,interim,Primary Report,"Crystal Muhlestein — Orem City campaign financial statement (Primary Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/08/Crystal-Muhlestein-Primary.xlsx-Sheet1-1.pdf,2026-07-05,text,pdftotext -layout,raw/202508_Crystal-Muhlestein-Primary.xlsx-Sheet1-1.pdf,cycle_stage,ae3e313fff259897da9eb2a00ed117f203ebf5f3fbddaed7cfc48522e0ba61e7,orem.gov/elections,CRYSTAL MUHLESTEIN,exact
2025-10-07,Crystal Muhlestein,Council At-Large,2025,interim,28 days before Election,"Crystal Muhlestein — Orem City campaign financial statement (28 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Muhlestein-28-days.pdf,2026-07-05,text,pdftotext -layout,raw/202510_Muhlestein-28-days.pdf,cycle_stage,14235bc05316488b914fd66e4af45283e159e4a083c2b7b16e3f7c758f6bd1a5,orem.gov/elections,CRYSTAL MUHLESTEIN,exact
2025-10-28,Crystal Muhlestein,Council At-Large,2025,interim,7 days before Election,"Crystal Muhlestein — Orem City campaign financial statement (7 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Muhlestein-7-days.pdf,2026-07-05,text,pdftotext -layout,raw/202510_Muhlestein-7-days.pdf,cycle_stage,0abe8f822a7777ec32ff014543e641b4b3c1f2f42d2e521356f09dff48e85eb6,orem.gov/elections,CRYSTAL MUHLESTEIN,exact
2025-11-25,Crystal Muhlestein,Council At-Large,2025,summary,Final Report,"Crystal Muhlestein — Orem City campaign financial statement (Final Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/12/Muhlestein-updated-Final.pdf,2026-07-05,text,pdftotext -layout,raw/202512_Muhlestein-updated-Final.pdf,cycle_stage,acb1daf517039c55fb8654598589d56fc75d1d24ca93e4091529ca1b2b428a65,orem.gov/elections,CRYSTAL MUHLESTEIN,exact
2025-10-07,Dave Young,Mayor,2025,interim,28 days before Election,"Dave Young — Orem City campaign financial statement (28 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Young-28-days.pdf,2026-07-05,scanned,ocr:tesseract,raw/202510_Young-28-days.pdf,cycle_stage,cd3590689dadae63c0a9ccfc2845e1e834d9cff63072fd142028b4b9aec0673d,orem.gov/elections,DAVE YOUNG,exact
2025-10-28,Dave Young,Mayor,2025,interim,7 days before Election,"Dave Young — Orem City campaign financial statement (7 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Young-7-day.pdf,2026-07-05,scanned,ocr:tesseract,raw/202510_Young-7-day.pdf,cycle_stage,c6ba3e40ee7c0376b577928c1b0fcecea4e33737543e87b7b7792f54b6af87fa,orem.gov/elections,DAVE YOUNG,exact
2025-11-25,Dave Young,Mayor,2025,summary,Final Report,"Dave Young — Orem City campaign financial statement (Final Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/12/Young-Final-1.pdf,2026-07-05,scanned,ocr:tesseract,raw/202512_Young-Final-1.pdf,cycle_stage,4d427ece259e17ccc182516d28e6305eefc0d16b514995366840021bb150ed6c,orem.gov/elections,DAVE YOUNG,exact
2025-08-05,David M. Spencer,Council At-Large,2025,interim,Primary Report,"David M. Spencer — Orem City campaign financial statement (Primary Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/08/David-Spencer-primary.pdf,2026-07-05,scanned,ocr:tesseract,raw/202508_David-Spencer-primary.pdf,cycle_stage,5eedec7b01fd8d7f871090f7ab559d269fdc231f76304382c75d98876897be4e,orem.gov/elections,DAVID M. SPENCER,exact
2025-10-07,David M. Spencer,Council At-Large,2025,interim,28 days before Election,"David M. Spencer — Orem City campaign financial statement (28 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Spencer-28-days-1.pdf,2026-07-05,scanned,ocr:tesseract,raw/202510_Spencer-28-days-1.pdf,cycle_stage,9d432b8e68734df5d234496ddacef7b2035198eed035fa4a98da8561256c25ab,orem.gov/elections,DAVID M. SPENCER,exact
2025-10-28,David M. Spencer,Council At-Large,2025,interim,7 days before Election,"David M. Spencer — Orem City campaign financial statement (7 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Spencer-7-day.pdf,2026-07-05,scanned,ocr:tesseract,raw/202510_Spencer-7-day.pdf,cycle_stage,6aaf354b579a1e866ca1a7b0bc4a20935362d336ed4c538096ca6c3cefc89da2,orem.gov/elections,DAVID M. SPENCER,exact
2025-11-25,David M. Spencer,Council At-Large,2025,summary,Final Report,"David M. Spencer — Orem City campaign financial statement (Final Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/12/Spencer-Final.pdf,2026-07-05,scanned,ocr:tesseract,raw/202512_Spencer-Final.pdf,cycle_stage,41402f2649003192bb4eeca3fc392a90f19caf754815c7a5b70b1ea96290b6ba,orem.gov/elections,DAVID M. SPENCER,exact
2025-08-05,Doyle Mortimer,Council At-Large,2025,interim,Primary Report,"Doyle Mortimer — Orem City campaign financial statement (Primary Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/08/Doyles-updated-Campaign-Finance-Report-Jul-31.pdf,2026-07-05,text,pdftotext -layout,raw/202508_Doyles-updated-Campaign-Finance-Report-Jul-31.pdf,cycle_stage,61621de7a416e74ed1fff7e3585526cb78717c870d4ce1682388c8539d633b99,orem.gov/elections,DOYLE MORTIMER,exact
2025-10-07,Doyle Mortimer,Council At-Large,2025,interim,28 days before Election,"Doyle Mortimer — Orem City campaign financial statement (28 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Mortimer-28-days.pdf,2026-07-05,text,pdftotext -layout,raw/202510_Mortimer-28-days.pdf,cycle_stage,b77458d7ba637fc1b969aa8e3ccac3fa17285a3e10df88b5097a4cb243de18bb,orem.gov/elections,DOYLE MORTIMER,exact
2025-10-28,Doyle Mortimer,Council At-Large,2025,interim,7 days before Election,"Doyle Mortimer — Orem City campaign financial statement (7 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Moritimer-7-days.pdf,2026-07-05,text,pdftotext -layout,raw/202510_Moritimer-7-days.pdf,cycle_stage,edd93ca42fb5e2b14d1f8767b99f98386b90c304c52cea7b8be0d0f692311ced,orem.gov/elections,DOYLE MORTIMER,exact
2025-11-25,Doyle Mortimer,Council At-Large,2025,summary,Final Report,"Doyle Mortimer — Orem City campaign financial statement (Final Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/12/Mortimer-Final.pdf,2026-07-05,text,pdftotext -layout,raw/202512_Mortimer-Final.pdf,cycle_stage,1ba727d156171d1d24361f0fca03076adcc019876a83ffc248a443e4c692cfae,orem.gov/elections,DOYLE MORTIMER,exact
2025-10-07,Karen McCandless,Mayor,2025,interim,28 days before Election,"Karen McCandless — Orem City campaign financial statement (28 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/McCandless-28-days.pdf,2026-07-05,scanned,ocr:tesseract,raw/202510_McCandless-28-days.pdf,cycle_stage,05388897036350b31aed1570d3f34a5540f51f636f859bc56b7333ed3e2e9bdf,orem.gov/elections,KAREN MCCANDLESS,exact
2025-10-28,Karen McCandless,Mayor,2025,interim,7 days before Election,"Karen McCandless — Orem City campaign financial statement (7 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/McCandless-7-days.pdf,2026-07-05,scanned,ocr:tesseract,raw/202510_McCandless-7-days.pdf,cycle_stage,b164c56a2800a7241fd88258101e07ea43221088728b5c8651308c62d9403cee,orem.gov/elections,KAREN MCCANDLESS,exact
2025-11-25,Karen McCandless,Mayor,2025,summary,Final Report,"Karen McCandless — Orem City campaign financial statement (Final Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/12/McCancdless-Final.pdf,2026-07-05,scanned,ocr:tesseract,raw/202512_McCancdless-Final.pdf,cycle_stage,e873aa17be8bcd99470221ef7f34400781050e5ac2cc60a9987308c52b5d1ab6,orem.gov/elections,KAREN MCCANDLESS,exact
2025-01-10,LaNae Millett,Council At-Large,2025,summary,Annual 2025,"LaNae Millett — Orem City campaign financial statement (Annual report Annual 2025, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/06/Millett-2025.pdf,2026-07-05,scanned,ocr:tesseract,raw/202506_Millett-2025.pdf,annual_deadline,7e9db1b147779e170bba2ac86c6d9e93dc80d4b4c59c852a468c33a34e8f5e21,orem.gov/elections,LANAE MILLETT,exact
