date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2022-08-16,2022,City Council Meeting,Council,1,"approve the consent agenda which included the approval of the minutes for the regular council meeting 8-2-22, work session minutes 8-9-22, a list of claims on the warrant register dated 8-16-22 and the sale of burial rights to Lloy",Procedural/Administrative,Pass (unanimous),Larry Ostler,Nathan Memmott,,,meeting_minutes/minutes/2022/2022-08-15/2022-08-16_city-council-meeting.md
2022-08-16,2022,City Council Meeting,Council,2,approve the final plat for Loveles,Land-Use/Zoning,Pass (unanimous),Skip Worwood,Nathan Memmott,,,meeting_minutes/minutes/2022/2022-08-15/2022-08-16_city-council-meeting.md
2022-08-16,2022,City Council Meeting,Council,3,approve Ordinance 08-16-2022 amending the zone map of Nephi City and changing North Ridge Estates Phase C from R-3(PUD) to R-3(Z),Ordinance,Pass (unanimous),JD Parady,Larry Ostler,,,meeting_minutes/minutes/2022/2022-08-15/2022-08-16_city-council-meeting.md
2022-08-16,2022,City Council Meeting,Council,4,approve the fina,Other,Pass,Skip Worwood,JD Parady,,,meeting_minutes/minutes/2022/2022-08-15/2022-08-16_city-council-meeting.md
2022-08-16,2022,City Council Meeting,Council,5,ratify the Mayor’s signing of the IT services agreement wit,Contract/Purchase,Pass (unanimous),JD Parady,Jeramie Callaway,,,meeting_minutes/minutes/2022/2022-08-15/2022-08-16_city-council-meeting.md
2022-08-16,2022,City Council Meeting,Council,6,adjourn regular council meeting and to convene into executive session to discuss the character and competence of an individual and rea,Procedural/Administrative,Pass (unanimous),Skip Worwood,Larry Ostler,,,meeting_minutes/minutes/2022/2022-08-15/2022-08-16_city-council-meeting.md
