source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
planning_commission/minutes/2023/2023-04-03/2023-04-04_planning-commission-meeting.md,2,2023-04-04,PlanningCommission,Other,Land-Use,Other-Land-Use,final-action,pass,5,1,,roll-call,5:1 Approved (Final Action),rule:lu-generic,medium
planning_commission/minutes/2023/2023-04-17/2023-04-18_planning-commission-meeting.md,1,2023-04-18,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
planning_commission/minutes/2023/2023-04-17/2023-04-18_planning-commission-meeting.md,2,2023-04-18,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
planning_commission/minutes/2023/2023-04-17/2023-04-18_planning-commission-meeting.md,3,2023-04-18,PlanningCommission,Procedural/Administrative,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Pass,rule:lu-cup,high
planning_commission/minutes/2023/2023-04-17/2023-04-18_planning-commission-meeting.md,4,2023-04-18,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-site,high
planning_commission/minutes/2023/2023-04-17/2023-04-18_planning-commission-meeting.md,5,2023-04-18,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:lu-rezone,high
planning_commission/minutes/2023/2023-05-15/2023-05-16_planning-commission-meeting.md,1,2023-05-16,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
planning_commission/minutes/2023/2023-05-15/2023-05-16_planning-commission-meeting.md,2,2023-05-16,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-subdiv,high
planning_commission/minutes/2023/2023-05-15/2023-05-16_planning-commission-meeting.md,3,2023-05-16,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-cup,high
planning_commission/minutes/2023/2023-06-05/2023-06-06_planning-commission-meeting.md,1,2023-06-06,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
planning_commission/minutes/2023/2023-06-05/2023-06-06_planning-commission-meeting.md,2,2023-06-06,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-subdiv,high
planning_commission/minutes/2023/2023-07-17/2023-07-18_planning-commission-meeting.md,1,2023-07-18,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
planning_commission/minutes/2023/2023-07-17/2023-07-18_planning-commission-meeting.md,2,2023-07-18,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-cup,high
planning_commission/minutes/2023/2023-07-17/2023-07-18_planning-commission-meeting.md,3,2023-07-18,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,5,1,,roll-call,5:1 Approved (Final Action),rule:lu-subdiv,high
planning_commission/minutes/2023/2023-07-17/2023-07-18_planning-commission-meeting.md,4,2023-07-18,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,5,1,,roll-call,5:1 Approved (Final Action),rule:lu-site,high
planning_commission/minutes/2023/2023-07-17/2023-07-18_planning-commission-meeting.md,5,2023-07-18,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-subdiv,high
planning_commission/minutes/2023/2023-07-17/2023-07-18_planning-commission-meeting.md,6,2023-07-18,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:lu-subdiv,high
planning_commission/minutes/2023/2023-10-02/2023-10-03_planning-commission-meeting.md,1,2023-10-03,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
planning_commission/minutes/2023/2023-10-02/2023-10-03_planning-commission-meeting.md,2,2023-10-03,PlanningCommission,Other,Other,,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:no-signal,low
planning_commission/minutes/2023/2023-10-02/2023-10-03_planning-commission-meeting.md,3,2023-10-03,PlanningCommission,Land-Use/Zoning,Land-Use,Text-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:lu-textamend,high
planning_commission/minutes/2023/2023-10-02/2023-10-03_planning-commission-meeting.md,4,2023-10-03,PlanningCommission,Procedural/Administrative,Land-Use,Text-Amendment,procedural,pass,6,0,,roll-call,6:0 Pass,rule:lu-textamend,high
planning_commission/minutes/2023/2023-10-16/2023-10-17_planning-commission-meeting.md,1,2023-10-17,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
planning_commission/minutes/2023/2023-10-16/2023-10-17_planning-commission-meeting.md,2,2023-10-17,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-subdiv,high
planning_commission/minutes/2023/2023-10-16/2023-10-17_planning-commission-meeting.md,3,2023-10-17,PlanningCommission,Procedural/Administrative,Land-Use,Text-Amendment,procedural,pass,6,0,,roll-call,6:0 Pass,rule:lu-textamend,high
planning_commission/minutes/2023/2023-11-13/2023-11-14_planning-commission-meeting.md,7,2023-11-14,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,fail,3,4,,roll-call,3:4 Denied (Final Action),rule:lu-cup,high
planning_commission/minutes/2023/2023-11-13/2023-11-14_planning-commission-meeting.md,8,2023-11-14,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,fail,3,4,,roll-call,3:4 Denied (Final Action),rule:lu-site,high
planning_commission/minutes/2023/2023-11-13/2023-11-14_planning-commission-meeting.md,10,2023-11-14,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,fail,3,4,,roll-call,Negative recommendation 3:4,rule:lu-rezone,high
planning_commission/minutes/2023/2023-11-13/2023-11-14_planning-commission-meeting.md,11,2023-11-14,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,fail,3,4,,roll-call,3:4 Fail,crosswalk,medium
planning_commission/minutes/2023/2023-12-04/2023-12-05_planning-commission-meeting.md,1,2023-12-05,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
planning_commission/minutes/2023/2023-12-04/2023-12-05_planning-commission-meeting.md,2,2023-12-05,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-site,high
planning_commission/minutes/2023/2023-12-04/2023-12-05_planning-commission-meeting.md,3,2023-12-05,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-cup,high
planning_commission/minutes/2023/2023-12-04/2023-12-05_planning-commission-meeting.md,4,2023-12-05,PlanningCommission,Procedural/Administrative,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Pass,rule:lu-site,high
planning_commission/minutes/2023/2023-12-04/2023-12-05_planning-commission-meeting.md,5,2023-12-05,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-subdiv,high
planning_commission/minutes/2023/2023-12-04/2023-12-05_planning-commission-meeting.md,6,2023-12-05,PlanningCommission,Procedural/Administrative,Land-Use,General-Plan-Amendment,recommendation,pass,5,0,,roll-call,5:0 Pass,rule:lu-gpa,high
planning_commission/minutes/2023/2023-12-04/2023-12-05_planning-commission-meeting.md,7,2023-12-05,PlanningCommission,Land-Use/Zoning,Land-Use,Development-Agreement,recommendation,pass,5,0,,roll-call,Negative recommendation 5:0,rule:lu-devagr,high
planning_commission/minutes/2023/2023-12-04/2023-12-05_planning-commission-meeting.md,8,2023-12-05,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,5,0,,roll-call,Negative recommendation 5:0,rule:lu-rezone,high
planning_commission/minutes/2023/2023-12-04/2023-12-05_planning-commission-meeting.md,9,2023-12-05,PlanningCommission,Land-Use/Zoning,Land-Use,Text-Amendment,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:lu-textamend,high
planning_commission/minutes/2023/2023-12-04/2023-12-05_planning-commission-meeting.md,10,2023-12-05,PlanningCommission,Other,Other,,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:no-signal,low
planning_commission/minutes/2023/2023-12-18/2023-12-19_planning-commission-meeting.md,1,2023-12-19,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
planning_commission/minutes/2023/2023-12-18/2023-12-19_planning-commission-meeting.md,2,2023-12-19,PlanningCommission,Land-Use/Zoning,Land-Use,Text-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:lu-textamend,high
planning_commission/minutes/2024/2024-01-01/2024-01-02_planning-commission-meeting.md,1,2024-01-02,PlanningCommission,Appointment,Appointment,,final-action,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
planning_commission/minutes/2024/2024-03-04/2024-03-05_planning-commission-meeting.md,1,2024-03-05,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
planning_commission/minutes/2024/2024-03-04/2024-03-05_planning-commission-meeting.md,2,2024-03-05,PlanningCommission,Other,Other,,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:no-signal,low
planning_commission/minutes/2024/2024-03-04/2024-03-05_planning-commission-meeting.md,3,2024-03-05,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:lu-rezone,high
planning_commission/minutes/2024/2024-04-15/2024-04-16_planning-commission-meeting.md,3,2024-04-16,PlanningCommission,Procedural/Administrative,Land-Use,Rezone,recommendation,pass,6,1,,roll-call,6:1 Pass,rule:lu-rezone,high
planning_commission/minutes/2024/2024-05-06/2024-05-07_planning-commission-meeting.md,1,2024-05-07,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
planning_commission/minutes/2024/2024-05-06/2024-05-07_planning-commission-meeting.md,2,2024-05-07,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-cup,high
