application_id,app_key,body_id,name,rep_title
39,RDA|s|meeting_minutes/minutes/2022/2022-06-20/2022-06-21_redevelopment-agency-meeting.md|1,3,,approve Resolution 22-22 RDA as presented
40,RDA|s|meeting_minutes/minutes/2022/2022-06-20/2022-06-21_redevelopment-agency-meeting.md|2,3,,approve Resolution 22-27 RDA as presented
41,Council|s|meeting_minutes/minutes/2022/2022-08-01/2022-08-02_city-council-meeting.md|5,1,,approve Resolution 22-29 as presented
42,Council|s|meeting_minutes/minutes/2022/2022-10-03/2022-10-04_city-council-meeting.md|3,1,,accept the petition as presented
43,RDA|s|meeting_minutes/minutes/2022/2022-11-14/2022-11-15_redevelopment-agency-meeting.md|1,3,,approve Resolution 22-45 RDA as presented
44,Council|s|meeting_minutes/minutes/2022/2022-12-05/2022-12-06_city-council-meeting.md|5,1,,adopt Ordinance 22-20 as presented
45,Council|s|meeting_minutes/minutes/2022/2022-12-05/2022-12-06_city-council-meeting.md|8,1,,adopt Ordinance 22-22 as presented
46,RDA|s|meeting_minutes/minutes/2023/2023-05-15/2023-05-16_redevelopment-agency-meeting.md|1,3,,approve Resolution 23-17 RDA as presented
47,RDA|s|meeting_minutes/minutes/2023/2023-06-05/2023-06-06_redevelopment-agency-meeting.md|1,3,,approve Resolution 23-20 RDA as presented
48,Council|s|meeting_minutes/minutes/2023/2023-06-19/2023-06-20_city-council-meeting.md|5,1,,approve Resolution 23-23 as presented
49,RDA|s|meeting_minutes/minutes/2023/2023-06-19/2023-06-20_redevelopment-agency-meeting.md|1,3,,approve Resolution 23-27 RDA as presented
50,Council|s|meeting_minutes/minutes/2023/2023-07-17/2023-07-18_city-council-meeting.md|4,1,,adopt Ordinance 23-21 as presented
51,Council|s|meeting_minutes/minutes/2023/2023-07-17/2023-07-18_city-council-meeting.md|5,1,,adopt Ordinance 23-20 as presented
52,RDA|s|meeting_minutes/minutes/2023/2023-07-17/2023-07-18_redevelopment-agency-meeting.md|1,3,,approve Resolution 23-28 RDA as presented
53,Council|s|meeting_minutes/minutes/2023/2023-07-31/2023-08-01_city-council-meeting.md|4,1,,adopt Ordinance 23-24 as presented
54,Council|s|meeting_minutes/minutes/2023/2023-07-31/2023-08-01_city-council-meeting.md|6,1,,adopt Ordinance 23-26 as presented
55,Council|s|meeting_minutes/minutes/2023/2023-09-04/2023-09-05_city-council-meeting.md|3,1,,adopt Ordinance 23-29 as presented
56,RDA|s|meeting_minutes/minutes/2023/2023-09-04/2023-09-05_redevelopment-agency-meeting.md|1,3,,approve Resolution 23-36 RDA as presented
57,RDA|s|meeting_minutes/minutes/2023/2023-10-16/2023-10-17_redevelopment-agency-meeting.md|1,3,,approve Resolution 23-44 RDA as presented
58,RDA|s|meeting_minutes/minutes/2023/2023-11-06/2023-11-07_redevelopment-agency-meeting.md|1,3,,approve Resolution 23-46 RDA as presented
59,RDA|s|meeting_minutes/minutes/2023/2023-11-20/2023-11-21_redevelopment-agency-meeting.md|1,3,,approve Resolution 23-48 RDA as presented
60,Council|s|meeting_minutes/minutes/2024/2024-01-15/2024-01-16_city-council-meeting.md|4,1,,deny Ordinance 24-02 as presented
61,Council|s|meeting_minutes/minutes/2024/2024-01-15/2024-01-16_city-council-meeting.md|6,1,,deny Ordinance 23-35 as presented
62,Council|s|meeting_minutes/minutes/2024/2024-03-04/2024-03-05_city-council-meeting.md|7,1,,adopt Ordinance 24-08 as presented
63,Council|s|meeting_minutes/minutes/2024/2024-03-18/2024-03-19_city-council-meeting.md|3,1,,adopt Ordinance 24-09 as presented
64,Council|s|meeting_minutes/minutes/2024/2024-05-06/2024-05-07_city-council-meeting.md|4,1,,adopt Ordinance 24-10 as presented
65,RDA|s|meeting_minutes/minutes/2024/2024-06-17/2024-06-18_redevelopment-agency-meeting.md|1,3,,approve Resolution 24-23 RDA as presented
66,Council|s|meeting_minutes/minutes/2024/2024-08-05/2024-08-06_city-council-meeting.md|4,1,,approve Resolution 24-27 as presented
67,RDA|s|meeting_minutes/minutes/2024/2024-09-02/2024-09-03_redevelopment-agency-meeting.md|1,3,,approve Resolution 24-35 RDA as presented
68,Council|s|meeting_minutes/minutes/2024/2024-09-30/2024-10-01_city-council-meeting.md|2,1,,approve Ordinance 24-16 as presented
69,Council|s|meeting_minutes/minutes/2024/2024-11-04/2024-11-05_city-council-meeting.md|6,1,,adopt Ordinance 24-20 as presented
70,Council|s|meeting_minutes/minutes/2024/2024-12-02/2024-12-03_city-council-meeting.md|7,1,,adopt Ordinance 24-25 as presented
71,Council|s|meeting_minutes/minutes/2024/2024-12-02/2024-12-03_city-council-meeting.md|8,1,,adopt Ordinance 24-21 as presented
72,Council|s|meeting_minutes/minutes/2024/2024-12-02/2024-12-03_city-council-meeting.md|9,1,,adopt Ordinance 24-23 as presented
73,Council|s|meeting_minutes/minutes/2025/2025-05-05/2025-05-06_city-council-meeting.md|4,1,,adopt Ordinance 25-03 as presented
