dataset,source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence,motion_id
planning_commission,planning_commission/minutes/2024/2024-08-19/2024-08-22_planning-commission-meeting.md,4,2024-08-22,PlanningCommission,Other,Other,,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,rule:no-signal,low,1232
planning_commission,planning_commission/minutes/2024/2024-08-19/2024-08-22_planning-commission-meeting.md,5,2024-08-22,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1233
planning_commission,planning_commission/minutes/2024/2024-09-09/2024-09-12_planning-commission-meeting.md,1,2024-09-12,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-site,high,1234
planning_commission,planning_commission/minutes/2024/2024-09-09/2024-09-12_planning-commission-meeting.md,2,2024-09-12,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-cup,high,1235
planning_commission,planning_commission/minutes/2024/2024-09-09/2024-09-12_planning-commission-meeting.md,3,2024-09-12,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-site,high,1236
planning_commission,planning_commission/minutes/2024/2024-09-09/2024-09-12_planning-commission-meeting.md,4,2024-09-12,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1237
planning_commission,planning_commission/minutes/2024/2024-10-07/2024-10-10_planning-commission-meeting.md,1,2024-10-10,PlanningCommission,Other,Other,,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),rule:no-signal,low,1238
planning_commission,planning_commission/minutes/2024/2024-10-07/2024-10-10_planning-commission-meeting.md,2,2024-10-10,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),rule:lu-subdiv,high,1239
planning_commission,planning_commission/minutes/2024/2024-10-07/2024-10-10_planning-commission-meeting.md,3,2024-10-10,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),rule:lu-site,high,1240
planning_commission,planning_commission/minutes/2024/2024-10-07/2024-10-10_planning-commission-meeting.md,4,2024-10-10,PlanningCommission,Other,Other,,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,rule:no-signal,low,1241
planning_commission,planning_commission/minutes/2024/2024-10-07/2024-10-10_planning-commission-meeting.md,5,2024-10-10,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1242
planning_commission,planning_commission/minutes/2024/2024-10-21/2024-10-24_planning-commission-meeting.md,1,2024-10-24,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,4,0,,roll-call,4:0 Approved (Final Action),rule:lu-cup,high,1243
planning_commission,planning_commission/minutes/2024/2024-10-21/2024-10-24_planning-commission-meeting.md,2,2024-10-24,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,4,0,,roll-call,Negative recommendation 4:0,rule:lu-rezone,high,1244
planning_commission,planning_commission/minutes/2024/2024-10-21/2024-10-24_planning-commission-meeting.md,3,2024-10-24,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,4,0,,roll-call,4:0 Approved (Final Action),rule:lu-cup,high,1245
planning_commission,planning_commission/minutes/2024/2024-10-21/2024-10-24_planning-commission-meeting.md,4,2024-10-24,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1246
planning_commission,planning_commission/minutes/2024/2024-11-11/2024-11-14_planning-commission-meeting.md,1,2024-11-14,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,7,0,,roll-call,7:0 Approved (Final Action),crosswalk,high,1247
planning_commission,planning_commission/minutes/2024/2024-11-11/2024-11-14_planning-commission-meeting.md,2,2024-11-14,PlanningCommission,Land-Use/Zoning,Land-Use,Annexation,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,rule:lu-annex,high,1248
planning_commission,planning_commission/minutes/2024/2024-11-11/2024-11-14_planning-commission-meeting.md,3,2024-11-14,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,7,0,,roll-call,7:0 Pass,crosswalk,high,1249
planning_commission,planning_commission/minutes/2024/2024-12-09/2024-12-12_planning-commission-meeting.md,1,2024-12-12,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high,1250
planning_commission,planning_commission/minutes/2025/2025-01-06/2025-01-09_planning-commission-meeting.md,1,2025-01-09,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),rule:lu-subdiv,high,1251
planning_commission,planning_commission/minutes/2025/2025-01-06/2025-01-09_planning-commission-meeting.md,2,2025-01-09,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1252
planning_commission,planning_commission/minutes/2025/2025-01-20/2025-01-23_planning-commission-meeting.md,1,2025-01-23,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Approved (Final Action),crosswalk,high,1253
planning_commission,planning_commission/minutes/2025/2025-01-20/2025-01-23_planning-commission-meeting.md,2,2025-01-23,PlanningCommission,Procedural/Administrative,Land-Use,Site-Plan-Design-Review,final-action,pass,4,1,,roll-call,4:1 Pass,rule:lu-site,high,1254
planning_commission,planning_commission/minutes/2025/2025-01-20/2025-01-23_planning-commission-meeting.md,3,2025-01-23,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-cup,high,1255
planning_commission,planning_commission/minutes/2025/2025-01-20/2025-01-23_planning-commission-meeting.md,4,2025-01-23,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-cup,high,1256
planning_commission,planning_commission/minutes/2025/2025-02-10/2025-02-13_planning-commission-meeting.md,1,2025-02-13,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-cup,high,1257
planning_commission,planning_commission/minutes/2025/2025-02-10/2025-02-13_planning-commission-meeting.md,2,2025-02-13,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1258
planning_commission,planning_commission/minutes/2025/2025-02-24/2025-02-27_planning-commission-meeting.md,1,2025-02-27,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high,1259
planning_commission,planning_commission/minutes/2025/2025-02-24/2025-02-27_planning-commission-meeting.md,2,2025-02-27,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,5,1,,roll-call,5:1 Approved (Final Action),rule:lu-site,high,1260
planning_commission,planning_commission/minutes/2025/2025-02-24/2025-02-27_planning-commission-meeting.md,3,2025-02-27,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-subdiv,high,1261
planning_commission,planning_commission/minutes/2025/2025-03-10/2025-03-13_planning-commission-meeting.md,1,2025-03-13,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high,1262
planning_commission,planning_commission/minutes/2025/2025-03-10/2025-03-13_planning-commission-meeting.md,2,2025-03-13,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-cup,high,1263
planning_commission,planning_commission/minutes/2025/2025-03-10/2025-03-13_planning-commission-meeting.md,3,2025-03-13,PlanningCommission,Land-Use/Zoning,Land-Use,Other-Land-Use,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,medium,1264
planning_commission,planning_commission/minutes/2025/2025-03-24/2025-03-27_planning-commission-meeting.md,1,2025-03-27,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high,1265
planning_commission,planning_commission/minutes/2025/2025-03-24/2025-03-27_planning-commission-meeting.md,2,2025-03-27,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:lu-rezone,high,1266
planning_commission,planning_commission/minutes/2025/2025-03-24/2025-03-27_planning-commission-meeting.md,3,2025-03-27,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-cup,high,1267
planning_commission,planning_commission/minutes/2025/2025-03-24/2025-03-27_planning-commission-meeting.md,4,2025-03-27,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-site,high,1268
planning_commission,planning_commission/minutes/2025/2025-03-24/2025-03-27_planning-commission-meeting.md,5,2025-03-27,PlanningCommission,Procedural/Administrative,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Pass,rule:lu-site,high,1269
planning_commission,planning_commission/minutes/2025/2025-03-24/2025-03-27_planning-commission-meeting.md,6,2025-03-27,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-site,high,1270
planning_commission,planning_commission/minutes/2025/2025-04-21/2025-04-24_planning-commission-meeting.md,1,2025-04-24,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high,1271
planning_commission,planning_commission/minutes/2025/2025-04-21/2025-04-24_planning-commission-meeting.md,2,2025-04-24,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:lu-rezone,high,1272
planning_commission,planning_commission/minutes/2025/2025-04-21/2025-04-24_planning-commission-meeting.md,3,2025-04-24,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-subdiv,high,1273
planning_commission,planning_commission/minutes/2025/2025-04-21/2025-04-24_planning-commission-meeting.md,4,2025-04-24,PlanningCommission,Other,Other,,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:no-signal,low,1274
planning_commission,planning_commission/minutes/2025/2025-05-19/2025-05-22_planning-commission-meeting.md,1,2025-05-22,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-cup,high,1275
planning_commission,planning_commission/minutes/2025/2025-05-19/2025-05-22_planning-commission-meeting.md,2,2025-05-22,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1276
planning_commission,planning_commission/minutes/2025/2025-06-09/2025-06-12_planning-commission-meeting.md,1,2025-06-12,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,4,0,,roll-call,4:0 Approved (Final Action),rule:lu-cup,high,1277
planning_commission,planning_commission/minutes/2025/2025-06-09/2025-06-12_planning-commission-meeting.md,2,2025-06-12,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,4,0,,roll-call,4:0 Approved (Final Action),rule:lu-site,high,1278
planning_commission,planning_commission/minutes/2025/2025-06-09/2025-06-12_planning-commission-meeting.md,3,2025-06-12,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1279
planning_commission,planning_commission/minutes/2025/2025-06-23/2025-06-26_planning-commission-meeting.md,1,2025-06-26,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1280
planning_commission,planning_commission/minutes/2025/2025-07-07/2025-07-10_planning-commission-meeting.md,1,2025-07-10,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high,1281
planning_commission,planning_commission/minutes/2025/2025-07-07/2025-07-10_planning-commission-meeting.md,2,2025-07-10,PlanningCommission,Other,Other,,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:no-signal,low,1282
