date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2020-02-25,2020,Magna Council Meeting,Council,1,"Council Member Hull, seconded by Council Member Prokopis, moved to close the staff meeting and go into the public meeting",Procedural/Administrative,Unanimous Pass,Trish Hull,Steve Prokopis,,,minutes/2020/2020-02-25_council_612115.md,minutes
2020-02-25,2020,Magna Council Meeting,Council,2,"Council Member Hull, seconded by Council Member Prokopis, moved to approve the minutes of the Magna Metro Township meeting held on January 28, 2020",Procedural/Administrative,Unanimous Pass,Trish Hull,Steve Prokopis,,,minutes/2020/2020-02-25_council_612115.md,minutes
2020-02-25,2020,Magna Council Meeting,Council,3,"Council Member Hull, seconded by Council Member Pierce, moved to approve Resolution No. 20-02-01",Resolution,Unanimous Pass,Trish Hull,Audrey Pierce,,,minutes/2020/2020-02-25_council_612115.md,minutes
2020-02-25,2020,Magna Council Meeting,Council,4,"Council Member Prokopis, seconded by Council Member Hull, moved to set the public hearing for March 10, 2020 at 7:00 PM",Public Hearing Action,Unanimous Pass,Steve Prokopis,Trish Hull,,,minutes/2020/2020-02-25_council_612115.md,minutes
2020-02-25,2020,Magna Council Meeting,Council,5,"Council Member Pierce, seconded by Council Member Prokopis, moved to continue the discussion until the March 10, 2020, Council meeting",Procedural/Administrative,Unanimous Pass,Audrey Pierce,Steve Prokopis,,,minutes/2020/2020-02-25_council_612115.md,minutes
