application_id,app_key,body_id,name,rep_title
24,Council|s|minutes/2020/2020-11-16/2020-11-17_city-council.md|11,1,,adjourn the City Council Meeting and reconvene the Redevelopment Agency Meeting Closed Session for the purpose of discussing pending or reasonably imminent litigation. Councilmember McDougal
25,Council|s|minutes/2020/2020-12-14/2020-12-15_city-council.md|7,1,,adjourn the City Council Meeting and reconvene the Redevelopment Agency Meeting Closed Session for the purpose of discussing pending or reasonably imminent litigation. Councilmember Wells
26,Council|transportation master plan,1,Transportation Master Plan,"adopt Ordinance 21-04, amending the Transportation Plan Element of the Riverton City General Plan, updating and amending Figure 1, Transportation Master Plan, as shown on Exhibit “A”, noting the change at 4800 South Cedar Point Park. Councilmember Stewart"
27,Council|klungervik rezone,1,Klungervik Rezone,"adopt Ordinance No. 21-01, the Klungervik Rezone, rezoning the subject properties located at 2998 West 12600 South from C-PO (Commercial-Professional Office) to C-G (Commercial Gateway). Councilmember Buroker"
28,Council|s|minutes/2021/2021-01-04/2021-01-05_city-council.md|5,1,,"adopt Ordinance 21-03, rezoning approximately two acres located at 12814 South Sunday Drive from R-1 to R-3 (residential single family with 14,000 square foot minimum lot size), as shown on Exhibit “A”. Councilmember Wells"
29,Council|s|minutes/2021/2021-01-18/2021-01-19_city-council.md|7,1,,"that the Riverton City Council Amend Ordinance No. 20- 13 - Amending SD designation #2, eliminating the reference to the R-4 Zone, and inserting text as follows: Area 2, as designated below, shall have a minimum lot size of 6,000 square feet, and shall otherwise comply with the setback and lot requirements of the R-4 zone Section 18.45.180 of the RM-6 Zone. Council Member McCay"
30,Council|s|minutes/2021/2021-02-01/2021-02-02_city-council.md|3,1,,"adopt Ordinance 21-03, rezoning approximately 2 acres located at 12814 South Sunday Drive from R-1 to R-2-SD, with Specific Development Designations as follows: 1. Animal rights shall be allowed on the property consistent with Riverton City Code Section 18.25.110(2) through (6); and 2. The property shall be considered compatible with adjacent zoning at the time of development; and 3. Minimum lot size for the corner lot shall be 19,000 square feet. In addition, staff is directed to ensure that the Dutchman Lane right-of-way adjacent to the property is widened in accordance with Riverton City’s "
31,Council|s|minutes/2021/2021-02-15/2021-02-16_city-council.md|3,1,,"approve Ordinance No. 21-02, an ordinance rezoning 8.32 acres at 12761 South 3600 West from C-PO & M-1 to C- PO/EHOV/SD (Professional Office with Elderly Housing Overlay with specific development designations as follows: 1. Density shall be limited to six (6) units per acre. 2. No more than 4 attached units per building. 3. Units shall maintain residential character with attached garages and pitched roofs, with maximum height of 35 feet. 4. The project shall be age restricted in compliance with all applicable laws to minimum of 80% at 55 or older. 5. No vehicular access to 12600 South or to th"
32,Council|s|minutes/2021/2021-02-15/2021-02-16_city-council.md|4,1,,"adopt Ordinance No. 21-06, amending Section 18.100.040(2) and 18.100.070(3), amending setbacks in the PCC Zone adjacent to non-compatible uses to a consistent 40 feet, as shown on the attached exhibit. Councilmember Stewart"
33,Council|s|minutes/2021/2021-03-01/2021-03-02_city-council.md|6,1,,"that the Riverton City Council approve Resolution No. 21- 19 authorizing the Community Scale Plan proposed by Suburban Land Reserve not connect with Sunday Drive, as provided by staff, but adding thereto the following conditions: 1. All streets shall be considered private within the Community Scale Plan. 2. The City will not receive any dedications of streets or utilities within the Community Scale Plan. 3. All matters relating to municipal services such as trash collection, snow plowing, and metering of utilities shall be handled by SLR, a, property management company, or the like. 4. A park "
34,Council|s|minutes/2021/2021-04-05/2021-04-06_city-council.md|3,1,,"approve Ordinance No. 21-08, rezoning an existing 4.28 acre City Park located at 1170 West Timp Vista Drive from R-3 to P/OS (Parks and Open Space). Councilmember Wells"
35,Council|s|minutes/2021/2021-04-19/2021-04-20_city-council.md|3,1,,"approve Ordinance No. 21-10 – Amending and Updating Section 18.120, Elderly Housing Overlay Zone, 18.90 Table of Commercial Uses and Conditional Uses Sections within the Commercial Zones as Described in Exhibit A. Councilmember Buroker"
36,Council|s|minutes/2021/2021-05-03/2021-05-04_city-council.md|4,1,,"adopt Ordinance No. 21-12, amending the General Plan designation of the 3.09 acres of land located at 13040 S Redwood from Estate Density Residential to Low Density Residential, And Rezoning the property From RR-22 To R-3 SD with the following SD designations: 1. All lots directly adjacent to Redwood Road with a minimum of 14,000 square feet; 2. All other lots within development with a minimum of 21,780 square feet; and 3. A maximum of 7 lots is permitted within the property area. Councilmember Stewart"
37,Council|s|minutes/2021/2021-05-03/2021-05-04_city-council.md|5,1,,"adopt Ordinance No. 21-12, amending the General Plan designation of the 3.09 acres of land located at 13040 S Redwood from Estate Density Residential to Low Density Residential, and Rezoning the property from RR-22 To R-3 with the following SD designations: 1. A maximum of 7 lots are permitted within the property area and 8 lots if including the parcel at 13037 South Redwood Road. Councilmember Buroker"
38,Council|s|minutes/2021/2021-05-03/2021-05-04_city-council.md|6,1,,"approve General Plan Amendment & Rezone, 8.9 Acres Located At 11850 S 3600 W, Amending the General Plan from Low Density Residential to Medium Density Residential, And Rezoning The Property From C-N To RM-6/EHOV. Councilmember Buroker"
39,Council|s|minutes/2021/2021-05-03/2021-05-04_city-council.md|8,1,,"convene in a Closed Session to discuss the sale, purchase, exchange or lease of real property and to suspend the Closed Session/City Council Meeting until after the Riverton Redevelopment Agency Board Meeting. Councilmember McDougal"
40,Council|s|minutes/2021/2021-05-31/2021-06-01_city-council.md|4,1,,"adopt Ordinance No. 21-14, General Plan Amendment and Rezone of 5.91 acres of land located near 12900 South 1830 West, changing the General Plan Designation to Medium-High Density Residential and the Zoning to RM-6-SD, with the following designations: 1. Development of the property shall be limited to the individual lot detached units only and Page | 8 Minutes – City Council Meeting June 1, 2021 2. Units shall be rambler style and will allow for a bonus room. Councilmember Wells and Mr. Lethbridge had discussion on height restrictions and rambler style and bonus room. Councilmember Stewart sai"
41,Council|s|minutes/2021/2021-06-14/2021-06-15_city-council.md|2,1,,"adopt Ordinance No. 21-17 – Amending Master Development Agreement between Riverton City and Suburban Land Reserve, Inc.. Councilmember Buroker"
42,Council|proposed rezone,1,Proposed Rezone,adopt Ordinance No. 26-10 – Proposed Rezone of 1.47 Acres Located at Approximately 1393 West 12600 South from RR-22 to C-G/PO-OV (Commercial Gateway with Pedestrian Oriented Overlay). Councilmember Smith
43,Council|s|minutes/2021/2021-07-19/2021-07-20_city-council.md|6,1,,"Reconsider Ordinance No. 21-14, General Plan Amendment and Rezone of 5.91 acres located near 12900 South 1830 West, changing the General Plan Designation to Medium-High Density Residential and the Zoning to RM-6-SD to be reconsidered on August 3. Councilmember McDougal"
44,Council|mcdougal rezone,1,McDougal Rezone,"direct staff to proceed with development of final project boundaries, plans, budgets, including draft interlocal agreements, and authorizing coordination with stakeholders and taxing agencies the proposed 12600 South Community Redevelopment Area and the Redwood Road Redevelopment Area as one, adding all of the land west of the Neighborhood Walmart to 1300 West to the 12600 South area, the Beans and Brews property, and the land to the south boundary of the “McDougal Rezone” property to the Redwood Road Area. Councilmember Wells asked if the redevelopment area including the McDougal property wou"
45,Council|ordinance no 21 14 general plan amendment,1,Ordinance No. 21- 14 General Plan Amendment,"that the Riverton City Council adopt Ordinance No. 21- 14 General Plan Amendment and Rezone of 5.91 acres located near 12900 South 1830 West, changing the General Plan Designation to Medium-High Density Residential and Page | 7 Minutes – City Council Meeting August 17, 2021 the Zoning to RM-6-SD, eliminating designation #2. Councilmember Buroker"
46,Council|s|minutes/2021/2021-09-06/2021-09-07_city-council.md|5,1,,"that the Riverton City Council adopt Ordinance No. 21- 23 – Text Amendment, Proposing Changes to Section 18.25.110, Farm Animals, Regarding Residential Chickens in the RR-22 Zone. Councilmember Buroker"
47,Council|s|minutes/2021/2021-09-06/2021-09-07_city-council.md|7,1,,"that the Riverton City Council adopt Ordinance No. 21- 24 – Amending Section 18.155.080, Addressing Standards for Fencing Between Non- Compatible Uses. Councilmember Stewart"
48,Council|s|minutes/2021/2021-09-06/2021-09-07_city-council.md|8,1,,"that the Riverton City Council adopt Ordinance No. 21- 25 – First Amendment to the Development Agreement for Mountain View Place at Riverton, Amending Sections 5.4 and 2.2.2 of Exhibit B of that document as shown in Exhibit A. Councilmember Buroker"
49,Council|s|minutes/2021/2021-10-04/2021-10-05_city-council.md|3,1,,"that the Riverton City Council adopt Ordinance No. 21- 26 – denying the requested General Plan Amendment and Rezone to R-4 of 2.0 acres located at 12984 South Sunday Drive, but rezoning the property to R-3 (14,000-sf minimum lots), consistent with the current General Plan Designation of “Low Density Residential,” as shown in Exhibit “A.” Councilmember Wells"
50,Council|s|minutes/2021/2021-10-04/2021-10-05_city-council.md|4,1,,that the Riverton City Council adopt Ordinance No. 21-27 – Amending Section 18.150.120(8) allowing signage incorporated into certain types of fencing to qualify as monument signs. Councilmember Buroker
51,Council|s|minutes/2021/2021-11-15/2021-11-16_city-council.md|4,1,,"that the Riverton City Council DENY Ordinance No. 21- 29 - General Plan Amendment and Rezone of 5.95-acres Located At Approximately 12261 South 4000 West from ""Low Density Residential"" and Zone R-3 to ""Medium-High Density Residential"" and Zone RM-6. Councilmember Wells"
52,Council|s|minutes/2021/2021-11-15/2021-11-16_city-council.md|7,1,,"that the Riverton City Council adopt Ordinance No. 21-28- Amending Section 18.45, RM-6, amending the RM-6 zone to individual lot development only. Councilmember Buroker"
53,Council|s|minutes/2021/2021-11-15/2021-11-16_city-council.md|8,1,,"that the Riverton City Council adopt Ordinance No. 21-30 - Amending Title 15, Chapter 45, Riverton City Code, Adopting Updated FEMA Flood Insurance Rate Maps, and Related Matters. Councilmember McDougal"
