source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
pmn_backfill/roa/2023-01-25_pc-roa.md,4,2023-01-25,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2023-02-08_pc-roa.md,1,2023-02-08,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,5,0,,roll-call,Negative recommendation 5:0,crosswalk,high
pmn_backfill/roa/2023-02-22_pc-roa.md,1,2023-02-22,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,crosswalk,high
pmn_backfill/roa/2023-02-22_pc-roa.md,2,2023-02-22,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2023-02-22_pc-roa.md,3,2023-02-22,PlanningCommission,Conditional Use Permit,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2023-03-08_pc-roa.md,1,2023-03-08,PlanningCommission,Annexation,Land-Use,Annexation,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
pmn_backfill/roa/2023-03-08_pc-roa.md,2,2023-03-08,PlanningCommission,General Plan Amendment,Land-Use,General-Plan-Amendment,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
pmn_backfill/roa/2023-03-08_pc-roa.md,3,2023-03-08,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,7,0,,roll-call,7:0 Denied (Final Action),crosswalk,high
pmn_backfill/roa/2023-03-08_pc-roa.md,4,2023-03-08,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,7,0,,roll-call,Negative recommendation 7:0,crosswalk,high
pmn_backfill/roa/2023-03-08_pc-roa.md,5,2023-03-08,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2023-03-22_pc-roa.md,1,2023-03-22,PlanningCommission,Annexation,Land-Use,Annexation,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,crosswalk,high
pmn_backfill/roa/2023-03-22_pc-roa.md,2,2023-03-22,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,crosswalk,high
pmn_backfill/roa/2023-03-22_pc-roa.md,3,2023-03-22,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2023-03-22_pc-roa.md,4,2023-03-22,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,crosswalk,high
pmn_backfill/roa/2023-03-22_pc-roa.md,5,2023-03-22,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,procedural,pass,5,0,,roll-call,5:0 Continued (Final Action),crosswalk,high
pmn_backfill/roa/2023-03-22_pc-roa.md,6,2023-03-22,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,crosswalk,high
pmn_backfill/roa/2023-04-12_pc-roa.md,1,2023-04-12,PlanningCommission,Conditional Use Permit,Land-Use,Conditional-Use,procedural,pass,6,0,,roll-call,6:0 Continued (Final Action),crosswalk,high
pmn_backfill/roa/2023-04-12_pc-roa.md,2,2023-04-12,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,procedural,pass,6,0,,roll-call,6:0 Continued (Final Action),crosswalk,high
pmn_backfill/roa/2023-04-12_pc-roa.md,3,2023-04-12,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,fail,3,3,,roll-call,3:3 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2023-04-12_pc-roa.md,4,2023-04-12,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,fail,3,3,,roll-call,Positive recommendation 3:3,crosswalk,high
pmn_backfill/roa/2023-04-12_pc-roa.md,5,2023-04-12,PlanningCommission,Conditional Use Permit,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2023-04-12_pc-roa.md,6,2023-04-12,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
