application_id,app_key,body_id,name,rep_title
21,CDRA|s|minutes/2022/2022-10-17/2022-10-18_work-session-and-business-meeting.md|2,1,,"MOTION: Council Member Bracken moved to ADJOURN the Closed Session, resume the Work Session, adjourn the Business Meeting, and return after the Business Meeting to hold a CDRA Business Meeting. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Mike Weichers-Aye"
22,CDRA|s|minutes/2022/2022-10-17/2022-10-18_work-session-and-business-meeting.md|9,1,,MOTION: Council Member Bracken moved to ADJOURN the City Council Business Meeting and Reconvene in the CDRA Business Meeting. The motion was seconded by Council Member Petersen
23,CDRA|s|minutes/2023/2023-01-16/2023-01-17_work-session-and-business-meeting.md|1,1,,MOTION: Council Member Bracken moved to CLOSE the Open Session and OPEN a Closed Session for the purpose of discussing the character and professional competence or physical or mental health of an individual and move to a CDRA Closed Meeting to discuss litigation property acquisition and/or the character and professional competence of an individual. Council Member Petersen seconded the motion
24,CDRA|s|minutes/2023/2023-01-16/2023-01-17_work-session-and-business-meeting.md|3,1,,"MOTION: Council Member Bracken moved to close the CDRA Meeting to discuss property acquisition. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Mike Weichers-Aye"
25,CDRA|s|minutes/2023/2023-01-16/2023-01-17_work-session-and-business-meeting.md|4,1,,"MOTION: Council Member Bracken moved to close the CDRA Closed Meeting. The motion was seconded by Council Member Birrell. Vote on motion: Council Member Petersen-Aye, Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Mike Weichers-Aye"
26,CDRA|s|minutes/2023/2023-01-23/2023-01-26_work-session-and-business-meeting.md|2,1,,CDRA Meeting Closed at 9:03 a.m. Motion to close the close meeting open the CDRA Meetings and adjourn by Board Member Bracken. Second by Board Member Birrell. All “Yes”
27,CDRA|s|minutes/2023/2023-01-23/2023-01-26_work-session-and-business-meeting.md|3,1,,3.0 ADJOURN Motion to close the close meeting open the CDRA Meetings and adjourn by Board Member Bracken. Second by Board Member Birrell. All “Yes”
28,CDRA|s|minutes/2023/2023-02-20/2023-02-21_work-session-and-business-meeting.md|2,1,,MOTION: Council Member Newell moved to ADJOURN the CDRA Meeting. The motion was seconded by Council Member Bracken
29,CDRA|s|minutes/2023/2023-03-20/2023-03-21_work-session-and-business-meeting.md|2,1,,MOTION: Council Member Newell moved to Close the CDRA Open Session and move to a Closed Session. The motion was seconded by Council Member Petersen
30,CDRA|s|minutes/2023/2023-03-20/2023-03-21_work-session-and-business-meeting.md|7,1,,"MOTION: Council Member Bracken moved to APPROVE the minutes of the City Council Retreat of January 31, 2023, the City Council Work Session, CDRA Work Session, and the City Council Business Meeting of February 21 and March 1, 2023. The motion was seconded by Council Member Newell"
31,Council|s|minutes/2023/2023-04-03/2023-04-04_work-session-and-business-meeting.md|2,2,,"MOTION: Council Member Newell moved to APPROVE Ordinance 395 – Amending Title 17, Cottonwood Heights Code of Ordinances, Concerning Storm Water Management. The motion was seconded by Council Member Bracken. Vote on Motion: Council Member Petersen-Aye, Council Member Bracken-Aye, Council Member Newell-Aye, Mayor Mike Weichers-Aye"
32,CDRA|s|minutes/2023/2023-06-05/2023-06-06_work-session-and-business-meeting.md|3,1,,MOTION: Council Member Newell moved to ADJOURN the CDRA Meeting. The motion was seconded by Council Member Holton
33,CDRA|s|minutes/2023/2023-06-19/2023-06-20_work-session-and-business-meeting.md|9,1,,"MOTION: Council Member Newell moved to APPROVE the City Council Work Session, CDRA Business Meeting, and City Council Business . The motion was seconded by Council Member Birrell"
34,CDRA|s|minutes/2023/2023-07-10/2023-07-11_work-session-and-business-meeting.md|3,1,,MOTION: Board Member Holton moved to ADJOURN the CDRA Meeting. The motion was seconded by Board Member Birrell
35,CDRA|s|minutes/2023/2023-07-17/2023-07-18_work-session-and-business-meeting.md|2,1,,MOTION: Board Member Birrell moved to ADJOURN the CDRA Meeting. The motion was seconded by Board Member Holton
36,Council|s|minutes/2023/2023-07-31/2023-08-01_work-session-and-business-meeting.md|4,2,,"MOTION: Council Member Holton moved to APPROVE Ordinance 400-A – Approving a General Plan Amendment for 3.049 Acres of Realty at 6581 South Big Cottonwood Canyon Road from Mixed-Use to Residential Low-Density, with the condition that the lot line adjustment must be executed and recorded first. The motion was seconded by Council Member Newell. Vote on Motion: Council Member Bracken-Aye, Council Member Holton-Aye, Council Member Newell- Aye, Council Member Birrell-Aye, Mayor Weichers-Aye"
37,Council|s|minutes/2023/2023-07-31/2023-08-01_work-session-and-business-meeting.md|5,2,,"MOTION: Council Member Bracken moved to APPROVE Ordinance 401-A – Approving the Rezone of 3.049 Acres of Realty at 6581 South Big Cottonwood Canyon Road from Foothill Residential (F-1-21) to Residential Single-Family (R-1-8), with the condition that the lot line adjustment must be executed and recorded first. The motion was seconded by Council Member Birrell. Vote on Motion: Council Member Bracken-Aye, Council Member Holton-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Weichers-Aye"
38,CDRA|s|minutes/2023/2023-08-14/2023-08-15_work-session-and-business-meeting.md|3,1,,MOTION: Board Member Holton moved to ADJOURN the CDRA Meeting. The motion was seconded by Board Member Newell
39,Council|s|minutes/2023/2023-09-04/2023-09-05_work-session-and-business-meeting.md|3,2,,"MOTION: Council Member Bracken moved to APPROVE Ordinance 402 – Establishing Temporary Land Use Regulations for Non-Vegetative Outdoor Playing Areas and Commencing Proceedings to Amend Ordinances. The motion was seconded by Council Member Birrell. Vote on Motion: Council Member Holton-Nay; Council Member Newell-Aye; Council Member Bracken-Aye; Council Member Birrell-Aye, Mayor Weichers-Nay"
40,CDRA|s|minutes/2023/2023-09-18/2023-09-19_board-of-canvassers.md|6,1,,"MOTION: Council Member Holton moved to APPROVE the Minutes of the City Council Work Session, CDRA Meeting, and the City Council Business Meeting of September 5, 2023. The motion was seconded by Council Member Newell"
41,CDRA|s|minutes/2023/2023-10-02/2023-10-03_work-session-and-business-meeting.md|6,1,,MOTION: Council Member Holton moved to ADJOURN the CDRA Meeting. The motion was seconded by Council Member Bracken
42,Council|s|minutes/2023/2023-10-16/2023-10-17_work-session-and-business-meeting.md|8,2,,"MOTION: Council Member Bracken moved to APPROVE Resolution 2023-56-A – Accepting an Annexation Petition for Further Consideration. The motion was seconded by Council Member Holton. Vote on Motion: Council Member Holton-Aye; Council Member Bracken- Aye; Council Member Newell-Aye; Council Member Birrell- Aye, Mayor Weichers- Aye"
43,Council|s|minutes/2023/2023-11-06/2023-11-07_work-session-and-business-meeting.md|2,2,,"MOTION: Council Member Holton moved to APPROVE Resolution 2023-57 – Approving an Independent Contractor Agreement for Land Use Hearing Officer Services. The motion was seconded by Council Member Birrell. Vote on Motion: Council Member Holton-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, and Mayor Pro Temp Bracken-Aye"
