date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2026-04-14,2026,Redevelopment Agency Meeting,RDA,1,"MOVED TO APPROVE THE MINUTES AS PRESENTED. MOTION WAS SECONDED BY BOARD MEMBER MYERS,",Procedural/Administrative,Voice Pass,,Shaun Myers,,,meeting_minutes/minutes/2026/2026-04-13/2026-04-14_redevelopment-agency.md,minutes
2026-04-14,2026,Redevelopment Agency Meeting,RDA,2,"ON A MOTION BY BOARD MEMBER RICHEY AND SECONDED BY VICE CHAIR GRAF, RESOLUTION 2026-1 WAS ADOPTED [ENTITLED: ""A resolution of the Ogden City Redevelopment Agency Board approving and authorizing the Executive Director to execute a Land Transfer and Development Agreement with 600 Exchange Bldg, LLC for the redevelopment of land located at approximately 600 W Exchange Road, Ogden, Utah.""]",Resolution,6-1 Pass,Ken Richey,Dave Graf,Alicia Washington,Nay,meeting_minutes/minutes/2026/2026-04-13/2026-04-14_redevelopment-agency.md,minutes
2026-04-14,2026,Redevelopment Agency Meeting,RDA,2,"ON A MOTION BY BOARD MEMBER RICHEY AND SECONDED BY VICE CHAIR GRAF, RESOLUTION 2026-1 WAS ADOPTED [ENTITLED: ""A resolution of the Ogden City Redevelopment Agency Board approving and authorizing the Executive Director to execute a Land Transfer and Development Agreement with 600 Exchange Bldg, LLC for the redevelopment of land located at approximately 600 W Exchange Road, Ogden, Utah.""]",Resolution,6-1 Pass,Ken Richey,Dave Graf,Dave Graf,Aye,meeting_minutes/minutes/2026/2026-04-13/2026-04-14_redevelopment-agency.md,minutes
2026-04-14,2026,Redevelopment Agency Meeting,RDA,2,"ON A MOTION BY BOARD MEMBER RICHEY AND SECONDED BY VICE CHAIR GRAF, RESOLUTION 2026-1 WAS ADOPTED [ENTITLED: ""A resolution of the Ogden City Redevelopment Agency Board approving and authorizing the Executive Director to execute a Land Transfer and Development Agreement with 600 Exchange Bldg, LLC for the redevelopment of land located at approximately 600 W Exchange Road, Ogden, Utah.""]",Resolution,6-1 Pass,Ken Richey,Dave Graf,Flor Lopez,Aye,meeting_minutes/minutes/2026/2026-04-13/2026-04-14_redevelopment-agency.md,minutes
2026-04-14,2026,Redevelopment Agency Meeting,RDA,2,"ON A MOTION BY BOARD MEMBER RICHEY AND SECONDED BY VICE CHAIR GRAF, RESOLUTION 2026-1 WAS ADOPTED [ENTITLED: ""A resolution of the Ogden City Redevelopment Agency Board approving and authorizing the Executive Director to execute a Land Transfer and Development Agreement with 600 Exchange Bldg, LLC for the redevelopment of land located at approximately 600 W Exchange Road, Ogden, Utah.""]",Resolution,6-1 Pass,Ken Richey,Dave Graf,Ken Richey,Aye,meeting_minutes/minutes/2026/2026-04-13/2026-04-14_redevelopment-agency.md,minutes
2026-04-14,2026,Redevelopment Agency Meeting,RDA,2,"ON A MOTION BY BOARD MEMBER RICHEY AND SECONDED BY VICE CHAIR GRAF, RESOLUTION 2026-1 WAS ADOPTED [ENTITLED: ""A resolution of the Ogden City Redevelopment Agency Board approving and authorizing the Executive Director to execute a Land Transfer and Development Agreement with 600 Exchange Bldg, LLC for the redevelopment of land located at approximately 600 W Exchange Road, Ogden, Utah.""]",Resolution,6-1 Pass,Ken Richey,Dave Graf,Kevin Lundell,Aye,meeting_minutes/minutes/2026/2026-04-13/2026-04-14_redevelopment-agency.md,minutes
2026-04-14,2026,Redevelopment Agency Meeting,RDA,2,"ON A MOTION BY BOARD MEMBER RICHEY AND SECONDED BY VICE CHAIR GRAF, RESOLUTION 2026-1 WAS ADOPTED [ENTITLED: ""A resolution of the Ogden City Redevelopment Agency Board approving and authorizing the Executive Director to execute a Land Transfer and Development Agreement with 600 Exchange Bldg, LLC for the redevelopment of land located at approximately 600 W Exchange Road, Ogden, Utah.""]",Resolution,6-1 Pass,Ken Richey,Dave Graf,Richard A. Hyer,Aye,meeting_minutes/minutes/2026/2026-04-13/2026-04-14_redevelopment-agency.md,minutes
2026-04-14,2026,Redevelopment Agency Meeting,RDA,2,"ON A MOTION BY BOARD MEMBER RICHEY AND SECONDED BY VICE CHAIR GRAF, RESOLUTION 2026-1 WAS ADOPTED [ENTITLED: ""A resolution of the Ogden City Redevelopment Agency Board approving and authorizing the Executive Director to execute a Land Transfer and Development Agreement with 600 Exchange Bldg, LLC for the redevelopment of land located at approximately 600 W Exchange Road, Ogden, Utah.""]",Resolution,6-1 Pass,Ken Richey,Dave Graf,Shaun Myers,Aye,meeting_minutes/minutes/2026/2026-04-13/2026-04-14_redevelopment-agency.md,minutes
2026-04-14,2026,Redevelopment Agency Meeting,RDA,3,"MOVED THE MEETING ADJOURN AT 8:43 P.M. MOTION WAS SECONDED BY BOARD MEMBER LUNDELL,",Procedural/Administrative,Voice Pass,,Kevin Lundell,,,meeting_minutes/minutes/2026/2026-04-13/2026-04-14_redevelopment-agency.md,minutes
