year,election_type,office,district,contest,precinct,candidate,votes,suppressed
2007,municipal general,Council,1,South Jordan City Council District 1,3425CA,LEONA WINGER,18,False
2007,municipal general,Council,1,South Jordan City Council District 1,3425CA,Write-in,1,False
2007,municipal general,Council,1,South Jordan City Council District 1,3513,LEONA WINGER,239,False
2007,municipal general,Council,1,South Jordan City Council District 1,3513,Write-in,4,False
2007,municipal general,Council,1,South Jordan City Council District 1,3515,LEONA WINGER,222,False
2007,municipal general,Council,1,South Jordan City Council District 1,3515,Write-in,5,False
2007,municipal general,Council,1,South Jordan City Council District 1,3516,LEONA WINGER,530,False
2007,municipal general,Council,1,South Jordan City Council District 1,3516,Write-in,7,False
2007,municipal general,Council,1,South Jordan City Council District 1,3518,LEONA WINGER,281,False
2007,municipal general,Council,1,South Jordan City Council District 1,3518,Write-in,9,False
2007,municipal general,Council,1,South Jordan City Council District 1,3520,LEONA WINGER,260,False
2007,municipal general,Council,1,South Jordan City Council District 1,3520,Write-in,15,False
2007,municipal general,Council,1,South Jordan City Council District 1,3520B,LEONA WINGER,3,False
2007,municipal general,Council,1,South Jordan City Council District 1,3520B,Write-in,0,False
2007,municipal general,Council,1,South Jordan City Council District 1,3520BC,LEONA WINGER,0,False
2007,municipal general,Council,1,South Jordan City Council District 1,3520BC,Write-in,0,False
2007,municipal general,Council,2,South Jordan City Council District 2,3508,KATHIE L. JOHNSON,161,False
2007,municipal general,Council,2,South Jordan City Council District 2,3508,GORDON C. MADSEN,170,False
2007,municipal general,Council,2,South Jordan City Council District 2,3508,Write-in,0,False
2007,municipal general,Council,2,South Jordan City Council District 2,3509,KATHIE L. JOHNSON,82,False
2007,municipal general,Council,2,South Jordan City Council District 2,3509,GORDON C. MADSEN,95,False
2007,municipal general,Council,2,South Jordan City Council District 2,3509,Write-in,2,False
2007,municipal general,Council,2,South Jordan City Council District 2,3510,KATHIE L. JOHNSON,105,False
2007,municipal general,Council,2,South Jordan City Council District 2,3510,GORDON C. MADSEN,80,False
2007,municipal general,Council,2,South Jordan City Council District 2,3510,Write-in,1,False
2007,municipal general,Council,2,South Jordan City Council District 2,3511,KATHIE L. JOHNSON,42,False
2007,municipal general,Council,2,South Jordan City Council District 2,3511,GORDON C. MADSEN,184,False
2007,municipal general,Council,2,South Jordan City Council District 2,3511,Write-in,0,False
2007,municipal general,Council,2,South Jordan City Council District 2,3514,KATHIE L. JOHNSON,257,False
2007,municipal general,Council,2,South Jordan City Council District 2,3514,GORDON C. MADSEN,90,False
2007,municipal general,Council,2,South Jordan City Council District 2,3514,Write-in,0,False
2007,municipal general,Council,2,South Jordan City Council District 2,3517,KATHIE L. JOHNSON,107,False
2007,municipal general,Council,2,South Jordan City Council District 2,3517,GORDON C. MADSEN,111,False
2007,municipal general,Council,2,South Jordan City Council District 2,3517,Write-in,0,False
2007,municipal general,Council,4,South Jordan City Council District 4,3533,DAVID W. COLTON,53,False
2007,municipal general,Council,4,South Jordan City Council District 4,3533,ALETA A. TAYLOR,86,False
2007,municipal general,Council,4,South Jordan City Council District 4,3533,Write-in,0,False
2007,municipal general,Council,4,South Jordan City Council District 4,3533BM,DAVID W. COLTON,25,False
2007,municipal general,Council,4,South Jordan City Council District 4,3533BM,ALETA A. TAYLOR,24,False
2007,municipal general,Council,4,South Jordan City Council District 4,3533BM,Write-in,0,False
2007,municipal general,Council,4,South Jordan City Council District 4,3534,DAVID W. COLTON,139,False
2007,municipal general,Council,4,South Jordan City Council District 4,3534,ALETA A. TAYLOR,188,False
2007,municipal general,Council,4,South Jordan City Council District 4,3534,Write-in,0,False
2007,municipal general,Council,4,South Jordan City Council District 4,3538,DAVID W. COLTON,214,False
2007,municipal general,Council,4,South Jordan City Council District 4,3538,ALETA A. TAYLOR,154,False
2007,municipal general,Council,4,South Jordan City Council District 4,3538,Write-in,0,False
2007,municipal general,Council,4,South Jordan City Council District 4,3540,DAVID W. COLTON,102,False
2007,municipal general,Council,4,South Jordan City Council District 4,3540,ALETA A. TAYLOR,201,False
2007,municipal general,Council,4,South Jordan City Council District 4,3540,Write-in,0,False
2007,municipal general,Council,4,South Jordan City Council District 4,3542,DAVID W. COLTON,103,False
2007,municipal general,Council,4,South Jordan City Council District 4,3542,ALETA A. TAYLOR,179,False
2007,municipal general,Council,4,South Jordan City Council District 4,3542,Write-in,1,False
2007,municipal general,Council,4,South Jordan City Council District 4,3550,DAVID W. COLTON,22,False
2007,municipal general,Council,4,South Jordan City Council District 4,3550,ALETA A. TAYLOR,173,False
2007,municipal general,Council,4,South Jordan City Council District 4,3550,Write-in,3,False
2009,municipal general,Council,3,South Jordan City Council District 3,3502,BRIAN C. BUTTERS,112,False
2009,municipal general,Council,3,South Jordan City Council District 3,3502,JOSEPH ROSS,73,False
2009,municipal general,Council,3,South Jordan City Council District 3,3502,Write-in,0,False
2009,municipal general,Council,3,South Jordan City Council District 3,3503,BRIAN C. BUTTERS,90,False
2009,municipal general,Council,3,South Jordan City Council District 3,3503,JOSEPH ROSS,29,False
2009,municipal general,Council,3,South Jordan City Council District 3,3503,Write-in,0,False
2009,municipal general,Council,3,South Jordan City Council District 3,3504,BRIAN C. BUTTERS,113,False
2009,municipal general,Council,3,South Jordan City Council District 3,3504,JOSEPH ROSS,58,False
2009,municipal general,Council,3,South Jordan City Council District 3,3504,Write-in,0,False
2009,municipal general,Council,3,South Jordan City Council District 3,3505,BRIAN C. BUTTERS,77,False
2009,municipal general,Council,3,South Jordan City Council District 3,3505,JOSEPH ROSS,47,False
2009,municipal general,Council,3,South Jordan City Council District 3,3505,Write-in,0,False
2009,municipal general,Council,3,South Jordan City Council District 3,3506,BRIAN C. BUTTERS,131,False
2009,municipal general,Council,3,South Jordan City Council District 3,3506,JOSEPH ROSS,41,False
2009,municipal general,Council,3,South Jordan City Council District 3,3506,Write-in,0,False
2009,municipal general,Council,3,South Jordan City Council District 3,3521,BRIAN C. BUTTERS,34,False
2009,municipal general,Council,3,South Jordan City Council District 3,3521,JOSEPH ROSS,16,False
2009,municipal general,Council,3,South Jordan City Council District 3,3521,Write-in,0,False
2009,municipal general,Council,3,South Jordan City Council District 3,3524,BRIAN C. BUTTERS,48,False
2009,municipal general,Council,3,South Jordan City Council District 3,3524,JOSEPH ROSS,71,False
2009,municipal general,Council,3,South Jordan City Council District 3,3524,Write-in,0,False
2009,municipal general,Council,3,South Jordan City Council District 3,3527,BRIAN C. BUTTERS,52,False
2009,municipal general,Council,3,South Jordan City Council District 3,3527,JOSEPH ROSS,55,False
2009,municipal general,Council,3,South Jordan City Council District 3,3527,Write-in,0,False
2009,municipal general,Council,3,South Jordan City Council District 3,3528,BRIAN C. BUTTERS,36,False
2009,municipal general,Council,3,South Jordan City Council District 3,3528,JOSEPH ROSS,62,False
2009,municipal general,Council,3,South Jordan City Council District 3,3528,Write-in,0,False
2009,municipal general,Council,5,South Jordan City Council District 5,3523,JOHN C. HEATH,119,False
2009,municipal general,Council,5,South Jordan City Council District 5,3523,LARRY SHORT,103,False
2009,municipal general,Council,5,South Jordan City Council District 5,3523,Write-in,0,False
2009,municipal general,Council,5,South Jordan City Council District 5,3529,JOHN C. HEATH,51,False
2009,municipal general,Council,5,South Jordan City Council District 5,3529,LARRY SHORT,41,False
2009,municipal general,Council,5,South Jordan City Council District 5,3529,Write-in,0,False
2009,municipal general,Council,5,South Jordan City Council District 5,3531,JOHN C. HEATH,72,False
2009,municipal general,Council,5,South Jordan City Council District 5,3531,LARRY SHORT,101,False
2009,municipal general,Council,5,South Jordan City Council District 5,3531,Write-in,0,False
2009,municipal general,Council,5,South Jordan City Council District 5,3532,JOHN C. HEATH,43,False
2009,municipal general,Council,5,South Jordan City Council District 5,3532,LARRY SHORT,83,False
2009,municipal general,Council,5,South Jordan City Council District 5,3532,Write-in,1,False
2009,municipal general,Council,5,South Jordan City Council District 5,3535,JOHN C. HEATH,55,False
2009,municipal general,Council,5,South Jordan City Council District 5,3535,LARRY SHORT,147,False
2009,municipal general,Council,5,South Jordan City Council District 5,3535,Write-in,0,False
2009,municipal general,Council,5,South Jordan City Council District 5,3536,JOHN C. HEATH,41,False
2009,municipal general,Council,5,South Jordan City Council District 5,3536,LARRY SHORT,139,False
2009,municipal general,Council,5,South Jordan City Council District 5,3536,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3467,W. KENT MONEY,4,False
2009,municipal general,Mayor,,South Jordan City Mayor,3467,AARON V. OSMOND,5,False
2009,municipal general,Mayor,,South Jordan City Mayor,3467,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3502,W. KENT MONEY,88,False
2009,municipal general,Mayor,,South Jordan City Mayor,3502,AARON V. OSMOND,96,False
2009,municipal general,Mayor,,South Jordan City Mayor,3502,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3503,W. KENT MONEY,79,False
2009,municipal general,Mayor,,South Jordan City Mayor,3503,AARON V. OSMOND,40,False
2009,municipal general,Mayor,,South Jordan City Mayor,3503,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3504,W. KENT MONEY,71,False
2009,municipal general,Mayor,,South Jordan City Mayor,3504,AARON V. OSMOND,100,False
2009,municipal general,Mayor,,South Jordan City Mayor,3504,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3505,W. KENT MONEY,65,False
2009,municipal general,Mayor,,South Jordan City Mayor,3505,AARON V. OSMOND,56,False
2009,municipal general,Mayor,,South Jordan City Mayor,3505,Write-in,2,False
2009,municipal general,Mayor,,South Jordan City Mayor,3506,W. KENT MONEY,100,False
2009,municipal general,Mayor,,South Jordan City Mayor,3506,AARON V. OSMOND,72,False
2009,municipal general,Mayor,,South Jordan City Mayor,3506,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3507,W. KENT MONEY,75,False
2009,municipal general,Mayor,,South Jordan City Mayor,3507,AARON V. OSMOND,87,False
2009,municipal general,Mayor,,South Jordan City Mayor,3507,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3508,W. KENT MONEY,98,False
2009,municipal general,Mayor,,South Jordan City Mayor,3508,AARON V. OSMOND,64,False
2009,municipal general,Mayor,,South Jordan City Mayor,3508,Write-in,1,False
2009,municipal general,Mayor,,South Jordan City Mayor,3509,W. KENT MONEY,32,False
2009,municipal general,Mayor,,South Jordan City Mayor,3509,AARON V. OSMOND,53,False
2009,municipal general,Mayor,,South Jordan City Mayor,3509,Write-in,1,False
2009,municipal general,Mayor,,South Jordan City Mayor,3510,W. KENT MONEY,48,False
2009,municipal general,Mayor,,South Jordan City Mayor,3510,AARON V. OSMOND,45,False
2009,municipal general,Mayor,,South Jordan City Mayor,3510,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3511,W. KENT MONEY,37,False
2009,municipal general,Mayor,,South Jordan City Mayor,3511,AARON V. OSMOND,78,False
2009,municipal general,Mayor,,South Jordan City Mayor,3511,Write-in,1,False
2009,municipal general,Mayor,,South Jordan City Mayor,3512,W. KENT MONEY,127,False
2009,municipal general,Mayor,,South Jordan City Mayor,3512,AARON V. OSMOND,72,False
2009,municipal general,Mayor,,South Jordan City Mayor,3512,Write-in,1,False
2009,municipal general,Mayor,,South Jordan City Mayor,3513,W. KENT MONEY,97,False
2009,municipal general,Mayor,,South Jordan City Mayor,3513,AARON V. OSMOND,59,False
2009,municipal general,Mayor,,South Jordan City Mayor,3513,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3514,W. KENT MONEY,132,False
2009,municipal general,Mayor,,South Jordan City Mayor,3514,AARON V. OSMOND,47,False
2009,municipal general,Mayor,,South Jordan City Mayor,3514,Write-in,1,False
2009,municipal general,Mayor,,South Jordan City Mayor,3515,W. KENT MONEY,80,False
2009,municipal general,Mayor,,South Jordan City Mayor,3515,AARON V. OSMOND,55,False
2009,municipal general,Mayor,,South Jordan City Mayor,3515,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3516,W. KENT MONEY,290,False
2009,municipal general,Mayor,,South Jordan City Mayor,3516,AARON V. OSMOND,70,False
2009,municipal general,Mayor,,South Jordan City Mayor,3516,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3517,W. KENT MONEY,51,False
2009,municipal general,Mayor,,South Jordan City Mayor,3517,AARON V. OSMOND,53,False
2009,municipal general,Mayor,,South Jordan City Mayor,3517,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3518,W. KENT MONEY,81,False
2009,municipal general,Mayor,,South Jordan City Mayor,3518,AARON V. OSMOND,72,False
2009,municipal general,Mayor,,South Jordan City Mayor,3518,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3519,W. KENT MONEY,94,False
2009,municipal general,Mayor,,South Jordan City Mayor,3519,AARON V. OSMOND,38,False
2009,municipal general,Mayor,,South Jordan City Mayor,3519,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3520,W. KENT MONEY,119,False
2009,municipal general,Mayor,,South Jordan City Mayor,3520,AARON V. OSMOND,104,False
2009,municipal general,Mayor,,South Jordan City Mayor,3520,Write-in,4,False
2009,municipal general,Mayor,,South Jordan City Mayor,3521,W. KENT MONEY,28,False
2009,municipal general,Mayor,,South Jordan City Mayor,3521,AARON V. OSMOND,22,False
2009,municipal general,Mayor,,South Jordan City Mayor,3521,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3522,W. KENT MONEY,45,False
2009,municipal general,Mayor,,South Jordan City Mayor,3522,AARON V. OSMOND,30,False
2009,municipal general,Mayor,,South Jordan City Mayor,3522,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3523,W. KENT MONEY,91,False
2009,municipal general,Mayor,,South Jordan City Mayor,3523,AARON V. OSMOND,142,False
2009,municipal general,Mayor,,South Jordan City Mayor,3523,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3524,W. KENT MONEY,60,False
2009,municipal general,Mayor,,South Jordan City Mayor,3524,AARON V. OSMOND,60,False
2009,municipal general,Mayor,,South Jordan City Mayor,3524,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3525,W. KENT MONEY,50,False
2009,municipal general,Mayor,,South Jordan City Mayor,3525,AARON V. OSMOND,207,False
2009,municipal general,Mayor,,South Jordan City Mayor,3525,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3526,W. KENT MONEY,34,False
2009,municipal general,Mayor,,South Jordan City Mayor,3526,AARON V. OSMOND,17,False
2009,municipal general,Mayor,,South Jordan City Mayor,3526,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3527,W. KENT MONEY,49,False
2009,municipal general,Mayor,,South Jordan City Mayor,3527,AARON V. OSMOND,63,False
2009,municipal general,Mayor,,South Jordan City Mayor,3527,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3528,W. KENT MONEY,27,False
2009,municipal general,Mayor,,South Jordan City Mayor,3528,AARON V. OSMOND,71,False
2009,municipal general,Mayor,,South Jordan City Mayor,3528,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3529,W. KENT MONEY,34,False
2009,municipal general,Mayor,,South Jordan City Mayor,3529,AARON V. OSMOND,57,False
2009,municipal general,Mayor,,South Jordan City Mayor,3529,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3530,W. KENT MONEY,54,False
2009,municipal general,Mayor,,South Jordan City Mayor,3530,AARON V. OSMOND,51,False
2009,municipal general,Mayor,,South Jordan City Mayor,3530,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3531,W. KENT MONEY,70,False
2009,municipal general,Mayor,,South Jordan City Mayor,3531,AARON V. OSMOND,115,False
2009,municipal general,Mayor,,South Jordan City Mayor,3531,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3532,W. KENT MONEY,49,False
2009,municipal general,Mayor,,South Jordan City Mayor,3532,AARON V. OSMOND,83,False
2009,municipal general,Mayor,,South Jordan City Mayor,3532,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3533,W. KENT MONEY,73,False
2009,municipal general,Mayor,,South Jordan City Mayor,3533,AARON V. OSMOND,32,False
2009,municipal general,Mayor,,South Jordan City Mayor,3533,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3534,W. KENT MONEY,186,False
2009,municipal general,Mayor,,South Jordan City Mayor,3534,AARON V. OSMOND,72,False
2009,municipal general,Mayor,,South Jordan City Mayor,3534,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3535,W. KENT MONEY,128,False
2009,municipal general,Mayor,,South Jordan City Mayor,3535,AARON V. OSMOND,74,False
2009,municipal general,Mayor,,South Jordan City Mayor,3535,Write-in,1,False
2009,municipal general,Mayor,,South Jordan City Mayor,3536,W. KENT MONEY,121,False
2009,municipal general,Mayor,,South Jordan City Mayor,3536,AARON V. OSMOND,59,False
2009,municipal general,Mayor,,South Jordan City Mayor,3536,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3538,W. KENT MONEY,104,False
2009,municipal general,Mayor,,South Jordan City Mayor,3538,AARON V. OSMOND,59,False
2009,municipal general,Mayor,,South Jordan City Mayor,3538,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3539,W. KENT MONEY,17,False
2009,municipal general,Mayor,,South Jordan City Mayor,3539,AARON V. OSMOND,6,False
2009,municipal general,Mayor,,South Jordan City Mayor,3539,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3540,W. KENT MONEY,84,False
2009,municipal general,Mayor,,South Jordan City Mayor,3540,AARON V. OSMOND,102,False
2009,municipal general,Mayor,,South Jordan City Mayor,3540,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3542,W. KENT MONEY,80,False
2009,municipal general,Mayor,,South Jordan City Mayor,3542,AARON V. OSMOND,57,False
2009,municipal general,Mayor,,South Jordan City Mayor,3542,Write-in,0,False
2009,municipal general,Mayor,,South Jordan City Mayor,3550,W. KENT MONEY,67,False
2009,municipal general,Mayor,,South Jordan City Mayor,3550,AARON V. OSMOND,24,False
2009,municipal general,Mayor,,South Jordan City Mayor,3550,Write-in,1,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3467,BOB HILL,3,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3467,W. KENT MONEY,3,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3467,AARON V. OSMOND,3,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3502,BOB HILL,12,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3502,W. KENT MONEY,34,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3502,AARON V. OSMOND,32,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3503,BOB HILL,1,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3503,W. KENT MONEY,21,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3503,AARON V. OSMOND,25,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3504,BOB HILL,16,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3504,W. KENT MONEY,24,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3504,AARON V. OSMOND,28,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3505,BOB HILL,6,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3505,W. KENT MONEY,19,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3505,AARON V. OSMOND,19,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3506,BOB HILL,8,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3506,W. KENT MONEY,32,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3506,AARON V. OSMOND,26,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3507,BOB HILL,5,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3507,W. KENT MONEY,40,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3507,AARON V. OSMOND,47,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3508,BOB HILL,27,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3508,W. KENT MONEY,25,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3508,AARON V. OSMOND,18,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3509,BOB HILL,13,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3509,W. KENT MONEY,20,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3509,AARON V. OSMOND,17,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3510,BOB HILL,3,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3510,W. KENT MONEY,8,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3510,AARON V. OSMOND,16,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3511,BOB HILL,5,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3511,W. KENT MONEY,14,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3511,AARON V. OSMOND,28,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3512,BOB HILL,17,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3512,W. KENT MONEY,50,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3512,AARON V. OSMOND,32,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3513,BOB HILL,5,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3513,W. KENT MONEY,44,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3513,AARON V. OSMOND,38,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3514,BOB HILL,17,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3514,W. KENT MONEY,57,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3514,AARON V. OSMOND,20,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3515,BOB HILL,3,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3515,W. KENT MONEY,39,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3515,AARON V. OSMOND,21,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3516,BOB HILL,11,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3516,W. KENT MONEY,186,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3516,AARON V. OSMOND,49,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3517,BOB HILL,10,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3517,W. KENT MONEY,19,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3517,AARON V. OSMOND,14,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3518,BOB HILL,7,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3518,W. KENT MONEY,25,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3518,AARON V. OSMOND,29,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3519,BOB HILL,12,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3519,W. KENT MONEY,48,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3519,AARON V. OSMOND,11,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3520,BOB HILL,19,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3520,W. KENT MONEY,54,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3520,AARON V. OSMOND,47,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3521,BOB HILL,5,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3521,W. KENT MONEY,4,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3521,AARON V. OSMOND,5,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3522,BOB HILL,4,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3522,W. KENT MONEY,14,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3522,AARON V. OSMOND,14,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3523,BOB HILL,14,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3523,W. KENT MONEY,49,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3523,AARON V. OSMOND,62,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3524,BOB HILL,12,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3524,W. KENT MONEY,19,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3524,AARON V. OSMOND,25,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3525,BOB HILL,14,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3525,W. KENT MONEY,21,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3525,AARON V. OSMOND,123,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3526,BOB HILL,4,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3526,W. KENT MONEY,11,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3526,AARON V. OSMOND,7,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3527,BOB HILL,11,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3527,W. KENT MONEY,20,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3527,AARON V. OSMOND,24,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3528,BOB HILL,7,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3528,W. KENT MONEY,4,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3528,AARON V. OSMOND,27,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3529,BOB HILL,4,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3529,W. KENT MONEY,16,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3529,AARON V. OSMOND,21,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3530,BOB HILL,17,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3530,W. KENT MONEY,19,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3530,AARON V. OSMOND,13,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3531,BOB HILL,16,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3531,W. KENT MONEY,31,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3531,AARON V. OSMOND,62,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3532,BOB HILL,9,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3532,W. KENT MONEY,21,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3532,AARON V. OSMOND,34,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3533,BOB HILL,48,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3533,W. KENT MONEY,44,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3533,AARON V. OSMOND,13,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3534,BOB HILL,8,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3534,W. KENT MONEY,76,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3534,AARON V. OSMOND,34,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3535,BOB HILL,26,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3535,W. KENT MONEY,50,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3535,AARON V. OSMOND,21,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3536,BOB HILL,14,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3536,W. KENT MONEY,66,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3536,AARON V. OSMOND,32,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3538,BOB HILL,18,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3538,W. KENT MONEY,57,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3538,AARON V. OSMOND,23,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3539,BOB HILL,0,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3539,W. KENT MONEY,9,False
2009,municipal primary,Mayor,,South Jordan City Mayor,3539,AARON V. OSMOND,3,False
