stem,bytes,chars,status
626817_2020-8-3_Determination_Letter_Location,123432,2121,extracted
626819_2020-O-4_Ordinance-supporting-Land-Use-Amendments-TOA-jhg,85722,4059,extracted
626821_TOA_Zoning_Code_cumulative_redline_8_6_20,443853,181781,extracted
626827_2020-R-19_Adopting_The_2019_Salt_Lake_County_Hazard_Mitigation_Plan,11270,1366,extracted
628419_2020-8-12_Public_Comments,962091,10204,extracted
629231_2020-R-19_Adopting_The_2019_Salt_Lake_County_Hazard_Mitigation_Plan,21889,1368,extracted
636381_PC_Agenda_Tuesday_September_8_2020_cancelled,692827,2021,extracted
635611_pc_memo_for_september_8,110904,2708,extracted
635609_2020-9-3_Determination_Letter_Location_jn,157924,2152,extracted
635613_Councilwoman_Davis_housing,127659,2469,extracted
635917_2020-9-9_Town_Council_Agenda,284618,4416,extracted
635927_2020-9-9_Consent_Agenda,1839177,103368,extracted
635919_2020-9-3_Determination_Letter_Location,152507,2124,extracted
635921_UABPOZ_8.20.2020,3676492,1383,extracted
635923_TOA_Zoning_Code_clean_8_20_20,418966,172646,extracted
635925_TOA_Zoning_Code_cumulative_redline_8_20_20,441639,182911,extracted
635929_2020-O-4_Ordinance-supporting-Land-Use-Amendments-TOA-draft,85401,4113,extracted
635931_2020-R-20_Salt_Lake_County_ILA_relating_to_CDBG_Program_DRAFT,72924,3761,extracted
635933_One_Page_Summary_HUD_002,118339,4629,extracted
635935_Urban_County_Interlocal_Agreement_FINAL,210060,43349,extracted
635937_Davis_Comment_Community_Center_Planning,99558,2461,extracted
646763_2020-10-14_Town_Council_Agenda,283968,4532,extracted
646765_2020-14_Consent_Agenda,1451962,94271,extracted
646771_2020-10-ACVB-Presentation-Preview,325881,13370,extracted
646761_2020-10-9_Determination_Letter_Location,156101,2029,extracted
646767_2020-O-4_Ordinance-supporting-Land-Use-Amendments-TOA-draft_w_attachments,1047971,177169,extracted
646769_2020-O-5_Ordinance_Amending_Dog_Ord_ADA_exceptions_draft,89111,2323,extracted
655699_2020-11-12_Town_Council_Agenda,283825,4389,extracted
655701_2020-11-12_Consent_Agenda,1809869,107621,extracted
657485_2020-11-12_Town_Council_Amended_Agenda,283746,4438,extracted
655697_2020-11-4_Determination_Letter_Location,158048,2044,extracted
655703_2020-O-4_Ordinance-supporting-Land-Use-Amendments-TOA-draft_w_attachments,1047971,177169,extracted
655705_TOA_Zoning_Code_cumulative_redline_8_20_20,416804,182911,extracted
655707_TOA_Zoning_Code_clean_8_20_20,394006,172646,extracted
655709_TOA_Zoning_Code_clean_8_20_20,394006,172646,extracted
664893_2020-12-9_Town_Council_Agenda,285228,4563,extracted
664895_2020-12-9_Consent_Agenda,1604820,92620,extracted
664891_2020-12-4_Determination_Letter_Location,158393,2043,extracted
664897_2020-12-9_Fraud-Risk-Assessment-Questionnaire,349223,0,image_only
664899_2020-R-21_Creation_of_Internal_Audit_Committee,149596,9674,extracted
664901_2020-O-4_Ordinance-supporting-Land-Use-Amendments-TOA-draft_w_attachments,1047971,177169,extracted
664903_TOA_Zoning_Code_clean_8_20_20,394006,172646,extracted
664905_TOA_Zoning_Code_cumulative_redline_8_20_20,416804,182911,extracted
671283_2021-1-5_Town_Council_Work_Session_Agenda,210037,2208,extracted
671281_2020-12-31_Determination_Letter_Location,158392,2048,extracted
671287_M039s_123020_draft_TofA_codes_re_FCOZ-ski_area_exceptions,146976,12675,extracted
671289_TOA_Zoning_Code_123020_additional_comments,1384772,197301,extracted
673845_2021-1-13_Town_Council_Agenda,284485,4932,extracted
673853_2021-1-13_Town_Council_Agenda,284485,4932,extracted
673861_2021-1-13_Consent_Agenda,1542640,98958,extracted
673867_2021-1-7_Capital_Projects_Plan_Staff_Report_-_Plans,2094746,30397,extracted
673843_2020-12-31_Determination_Letter_Location,158392,2048,extracted
673847_PUBLIC_NOTICE_-_Budget_Hearings_Jan_2021,63711,663,extracted
673849_FY21_Jan_budget_amendment.4,192283,69255,extracted
673851_2020-12-31_Determination_Letter_Location,158392,2048,extracted
673855_FY21_Jan_budget_amendment.4,192283,69255,extracted
673857_ASA_Maughan_Parking_Discussion_Materials,3992293,7416,extracted
673859_2020-12-31_Determination_Letter_Location,158392,2048,extracted
673863_2021-R-1_Resolution_ILA_Service_Area_3,70412,2396,extracted
673865_2021-R-2_Amending_budgets_for_2020-2021_DRAFT,59618,1046,extracted
674973_1.12.21_update_zoning_issues_11,85353,3933,extracted
683603_2021-2-10_Town_Council_Agenda,277324,4307,extracted
683611_2021-2-10_Consent_Agenda,1473263,108338,extracted
683601_2021-2-2_Determination_Letter_Location,158107,2060,extracted
683605_Last_items_for_Land_Use_Ordinance_final_2.4.21,156115,7255,extracted
